*desc	enabled	page	x	y	color	font	statID	end
cubepoints	1	1	25	445		6	183	0
item_magicbonus	1	1	25	425	4	6	80	0
item_goldbonus	1	1	25	410	4	6	79	0
hpregen	1	1	25	390	1	6	74	0
lifedrainmindam	1	1	25	375	1	6	60	0
item_healafterkill	1	1	25	360	1	6	86	0
manarecoverybonus	1	1	25	345	3	6	27	0
manadrainmindam	1	1	25	330	3	6	62	0
item_manaafterkill	1	1	25	315	3	6	138	0
item_damagetomana	1	1	25	300	3	6	114	0
item_fastercastrate	1	1	25	280		6	105	0
item_fasterattackrate	1	1	25	265		6	93	0
item_fastermovevelocity	1	1	25	250		6	96	0
item_fastergethitrate	1	1	25	235		6	99	0
item_freeze	1	1	25	215		6	134	0
item_howl	1	1	25	200		6	112	0
item_attackertakesdamage	1	1	25	185		6	78	0
item_attackertakeslightdamage	1	1	25	170		6	128	0
item_openwounds	1	1	25	155		6	135	0
item_crushingblow	1	1	25	140		6	136	0
item_deadlystrike	1	1	25	125		6	141	0
								
normal_damage_reduction	1	2	25	445		6	34	0
magic_damage_reduction	1	2	25	430		6	35	0
damageresist	1	2	25	400		6	36	0
magicresist	1	2	25	385		6	37	0
fireresist	1	2	25	370	1	6	39	0
coldresist	1	2	25	355	3	6	43	0
lightresist	1	2	25	340	9	6	41	0
poisonresist	1	2	25	325	2	6	45	0
maxmagicresist	1	2	25	295		6	38	0
maxfireresist	1	2	25	280	1	6	40	0
maxcoldresist	1	2	25	265	3	6	44	0
maxlightresist	1	2	25	250	9	6	42	0
maxpoisonresist	1	2	25	235	2	6	46	0
item_absorbmagic_percent	1	2	25	205		6	146	0
item_absorbfire_percent	1	2	25	190	1	6	142	0
item_absorbcold_percent	1	2	25	175	3	6	148	0
item_absorblight_percent	1	2	25	160	9	6	144	0
item_absorbmagic	1	2	160	205		6	147	0
item_absorbfire	1	2	160	190	1	6	143	0
item_absorbcold	1	2	160	175	3	6	149	0
item_absorblight	1	2	160	160	9	6	145	0
item_poisonlengthresist	1	2	25	130	2	6	110	0
								
mindamage	1	3	25	445		6	21	0
maxdamage	1	3	25	430		6	22	0
firemindam	1	3	25	415	1	6	48	0
firemaxdam	1	3	25	400	1	6	49	0
coldmindam	1	3	25	385	3	6	54	0
coldmaxdam	1	3	25	370	3	6	55	0
lightmindam	1	3	25	355	9	6	50	0
lightmaxdam	1	3	25	340	9	6	51	0
poisonminstring	1	3	25	325	2	6	385	0
poisonmaxstring	1	3	25	310	2	6	386	0
magicmindam	1	3	25	295		6	52	0
magicmaxdam	1	3	25	280		6	53	0
passive_fire_mastery	1	3	25	260	1	6	329	0
passive_cold_mastery	1	3	25	245	3	6	331	0
passive_ltng_mastery	1	3	25	230	9	6	330	0
passive_pois_mastery	1	3	25	215	2	6	332	0
passive_mag_mastery	1	3	25	200		6	357	0
passive_fire_pierce	1	3	25	180	1	6	333	0
passive_cold_pierce	1	3	25	165	3	6	335	0
passive_ltng_pierce	1	3	25	150	9	6	334	0
passive_pois_pierce	1	3	25	135	2	6	336	0
passive_mag_pierce	1	3	25	120		6	358	0
