Name	Id	Pal	Act	QuestFlag	QuestFlagEx	Layer	SizeX	SizeY	SizeX(N)	SizeY(N)	SizeX(H)	SizeY(H)	OffsetX	OffsetY	Depend	Teleport	Rain	Mud	NoPer	LOSDraw	FloorFilter	BlankScreen	DrawEdges	IsInside	DrlgType	LevelType	SubType	SubTheme	SubWaypoint	SubShrine	Vis0	Vis1	Vis2	Vis3	Vis4	Vis5	Vis6	Vis7	Warp0	Warp1	Warp2	Warp3	Warp4	Warp5	Warp6	Warp7	Intensity	Red	Green	Blue	Portal	Position	SaveMonsters	Quest	WarpDist	MonLvl1	MonLvl2	MonLvl3	MonLvl1Ex	MonLvl2Ex	MonLvl3Ex	MonDen	MonDen(N)	MonDen(H)	MonUMin	MonUMax	MonUMin(N)	MonUMax(N)	MonUMin(H)	MonUMax(H)	MonWndr	MonSpcWalk	NumMon	mon1	mon2	mon3	mon4	mon5	mon6	mon7	mon8	mon9	mon10	mon11	mon12	mon13	mon14	mon15	mon16	mon17	mon18	mon19	mon20	*monlvl1	*monlvl2	*monlvl3	*monlvl4	*monlvl5	*monlvl6	*monlvl7	*monlvl8	*monlvl9	*monlvl10	*monlvl11	*monlvl12	*monlvl13	*monlvl14	*monlvl15	*monlvl16	*monlvl17	*monlvl18	*monlvl19	*monlvl20	rangedspawn	nmon1	nmon2	nmon3	nmon4	nmon5	nmon6	nmon7	nmon8	nmon9	nmon10	nmon11	nmon12	nmon13	nmon14	nmon15	nmon16	nmon17	nmon18	nmon19	nmon20	umon1	umon2	umon3	umon4	umon5	umon6	umon7	umon8	umon9	umon10	cmon1	cmon2	cmon3	cmon4	cpct1	cpct2	cpct3	cpct4	camt1	camt2	camt3	camt4	Themes	SoundEnv	Waypoint	LevelName	LevelWarp	EntryFile	ObjGrp0	ObjGrp1	ObjGrp2	ObjGrp3	ObjGrp4	ObjGrp5	ObjGrp6	ObjGrp7	ObjPrb0	ObjPrb1	ObjPrb2	ObjPrb3	ObjPrb4	ObjPrb5	ObjPrb6	ObjPrb7	Beta
Null	0	0	0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					0	0																																																																																					0	0	255				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Act 1 - Town	1	0	0			0	56	40	56	40	56	40	-1	-1	0	1	1	0	0	0	1	1	0	1	2	1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	128	255	255	223	1	1	0	0	2025	0	0	0	0	0	0	0	0	0	0	0					0	0																																																																																					0	1	0	Rogue Encampment	To The Rogue Encampment	A1L1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Act 1 - Wilderness 1	2	0	0			0	80	80	80	80	80	80	-1	-1	0	1	1	0	0	0	1	1	1	1	3	2	6	0	4	5	0	0	0	8	8	8	8	0	-1	-1	-1	0	1	2	3	-1	128	255	255	223	0	0	1	0	2025	40	99	99	5	105	105	840	840	840	0	1	4	5	7	9	1	0	11	zombie1	fallen1	quillrat1	skeleton1	quillrat2	quillrat1	quillrat1	zombie1	skeleton1	kobold	kobold																															zombie1	fallen1	quillrat1	skeleton1	quillrat2	quillrat1	quillrat1	zombie1	skeleton1	kobold	kobold										zombie1	fallen1	quillrat1	kobold																			0	2	255	Blood Moor	To The Blood Moor	A1L2	4	38	33	34	0	0	0	0	3	17	17	17	0	0	0	0	1
Act 1 - Wilderness 2	3	0	0			0	80	80	80	80	80	80	1000	1000	0	1	1	0	0	0	1	1	1	1	3	2	6	1	4	5	0	0	0	9	9	9	9	0	-1	-1	-1	0	1	2	3	-1	128	255	255	223	1	0	1	0	2025	40	99	99	10	110	110	840	840	840	1	1	4	5	7	9	1	0	11	corruptrogue1	fallenshaman1	cr_lancer1	quillbear1	zombie1	quillrat2	zombie1	skeleton2	fallenboss1	kobold	pecker																															corruptrogue1	fallenshaman1	cr_lancer1	quillbear1	zombie1	quillrat2	zombie1	skeleton2	fallenboss1	kobold	pecker										corruptrogue1	fallenshaman1	cr_lancer1	quillbear1	pecker	fallenboss1																	0	2	1	Cold Plains	To The Cold Plains	A1L3	4	38	33	34	0	0	0	0	3	22	22	22	0	0	0	0	1
Act 1 - Wilderness 3	4	0	0			0	80	80	80	80	80	80	1000	1000	0	1	1	0	0	0	1	1	1	1	3	2	6	2	4	5	0	0	0	10	10	10	10	0	-1	-1	-1	0	1	2	3	-1	128	255	255	223	0	0	1	0	2025	40	99	99	13	113	113	960	960	960	1	2	4	6	7	9	1	0	11	skeleton2	zombie2	rogue0	cr_archer1	quillbear1	zombie1	rogue0	quillrat2	fallenboss2	kobold	pecker																															skeleton2	zombie2	rogue0	cr_archer1	quillbear1	zombie1	rogue0	quillrat2	fallenboss2	kobold	pecker										skeleton1	zombie2	quillbear1	goatman2	cr_archer1	pecker	fallenboss2																0	2	2	Stony Field	To The Stony Field	A1L4	1	38	33	34	0	0	0	0	4	27	27	27	0	0	0	0	1
Act 1 - Wilderness 4	5	0	0			0	80	80	80	80	80	80	-1	-1	0	1	1	0	0	0	1	1	1	1	3	2	6	3	4	5	0	0	0	10	10	10	10	0	-1	-1	-1	0	1	2	3	-1	128	255	255	223	1	0	1	0	2025	40	99	99	19	119	119	960	960	960	1	3	4	6	7	9	1	0	14	fallen2	corruptrogue2	quillrat2	cr_lancer2	sk_archer1	quillbear2	golem1	rogue0	zombie1	quillrat2	zombie2	fallenboss2	mushroom	pecker																												fallen2	corruptrogue2	quillrat2	cr_lancer2	sk_archer1	quillbear2	golem1	rogue0	zombie1	quillrat2	zombie2	fallenboss2	mushroom	pecker							fallen2	corruptrogue2	quillrat2	cr_lancer2	sk_archer1	quillbear1	mushroom																0	2	3	Dark Wood	To The Dark Wood	A1L5	1	38	33	34	0	0	0	0	4	30	30	30	0	0	0	0	1
Act 1 - Wilderness 5	6	0	0			0	80	80	80	80	80	80	-1	-1	0	1	1	0	0	0	1	1	1	1	3	2	6	4	4	5	0	0	20	11	11	11	11	0	-1	-1	10	0	1	2	3	-1	128	255	255	223	0	0	1	0	2025	40	99	99	22	122	122	960	960	960	1	3	4	6	7	9	1	0	14	skeleton2	rogue0	monolith1	goatman2	fallenshaman2	cr_archer2	quillbear2	golem1	rogue0	zombie2	quillrat2	fallenboss3	mushroom	pecker																												skeleton2	rogue0	monolith1	goatman2	fallenshaman2	cr_archer2	quillbear2	golem1	rogue0	zombie2	quillrat2	fallenboss3	mushroom	pecker							skeleton2	quillbear1	monolith1	goatman2	fallenshaman2	cr_archer2	zombie2																0	2	4	Black Marsh	To The Black Marsh	A1L6	1	38	33	34	0	0	0	0	5	32	32	32	0	0	0	0	1
Act 1 - Wilderness 6	7	0	0			0	80	80	80	80	80	80	-1	-1	0	1	1	0	0	0	1	1	1	1	3	2	6	2	4	5	0	0	0	12	12	12	12	0	-1	-1	-1	0	1	2	3	-1	128	255	255	223	1	0	1	0	2025	40	99	99	25	125	125	960	960	960	1	3	4	6	7	9	1	0	10	corruptrogue3	pecker	cr_lancer3	sk_archer2	skmage_fire1	quillbear2	golem1	rogue0	zombie2	mushroom																																corruptrogue3	pecker	cr_lancer3	sk_archer2	skmage_fire1	quillbear2	golem1	rogue0	zombie2	mushroom											corruptrogue3	pecker	cr_lancer3	sk_archer2	skmage_fire1	quillbear1	zombie2	golem1															0	2	255	Tamoe Highland	To The Tamoe Highland	A1L7	1	38	33	34	0	0	0	0	5	35	35	35	0	0	0	0	1
Act 1 - Cave 1	8	0	0			1	600	600	600	600	600	600	1500	1000	0	1	0	0	0	1	1	1	0	1	1	3	-1	-1	-1	-1	2	0	0	0	0	0	0	0	4	-1	-1	-1	-1	-1	-1	-1	0	255	255	255	0	0	1	1	2025	40	99	99	9	109	109	960	960	960							0	0	9	zombie1	fallenshaman1	quillrat2	fallenshaman1	skeleton1	skeleton2	fallenboss1	kobold	ratman																																	zombie1	fallenshaman1	quillrat2	fallenshaman1	skeleton1	skeleton2	fallenboss1	kobold	ratman												zombie1	fallenshaman1	fallenboss1	ratman	quillrat2																		0	4	255	Den of Evil	To The Den of Evil	A1L9	6	4	0	0	0	0	0	0	35	45	0	0	0	0	0	0	1
Act 1 - Cave 2	9	0	0			2	600	600	600	600	600	600	1500	1300	0	1	0	0	0	1	1	1	0	1	1	3	-1	-1	-1	-1	3	0	0	0	13	0	0	0	4	-1	-1	-1	5	-1	-1	-1	0	255	255	255	0	0	1	0	2025	40	99	99	11	111	111	960	960	960	1	2	4	6	6	8	1	0	9	skeleton1	zombie2	cr_archer1	skeleton2	zombie1	skeleton1	fallenboss1	kobold	ratman																																	skeleton1	zombie2	cr_archer1	skeleton2	zombie1	skeleton1	fallenboss1	kobold	ratman												skeleton1	zombie2	cr_archer1	ratman	kobold																		0	4	255	Cave Level 1	To The Cave Level 1	A1L9	6	4	0	0	0	0	0	0	30	3	0	0	0	0	0	0	1
