name	version	compactsave	rarity	spawnable	minac	maxac	absorbs	speed	reqstr	reqdex	block	durability	nodurability	level	levelreq	cost	gamble cost	code	namestr	magic lvl	auto prefix	alternategfx	OpenBetaGfx	normcode	ubercode	ultracode	spelloffset	component	invwidth	invheight	hasinv	gemsockets	gemapplytype	flippyfile	invfile	uniqueinvfile	setinvfile	rArm	lArm	Torso	Legs	rSPad	lSPad	useable	throwable	stackable	minstack	maxstack	type	type2	dropsound	dropsfxframe	usesound	unique	transparent	transtbl	quivered	lightradius	belt	quest	missiletype	durwarning	qntwarning	mindam	maxdam	StrBonus	DexBonus	gemoffset	bitfield1	AkaraMin	AkaraMax	AkaraMagicMin	AkaraMagicMax	AkaraMagicLvl	GheedMin	GheedMax	GheedMagicMin	GheedMagicMax	GheedMagicLvl	CharsiMin	CharsiMax	CharsiMagicMin	CharsiMagicMax	CharsiMagicLvl	FaraMin	FaraMax	FaraMagicMin	FaraMagicMax	FaraMagicLvl	LysanderMin	LysanderMax	LysanderMagicMin	LysanderMagicMax	LysanderMagicLvl	DrognanMin	DrognanMax	DrognanMagicMin	DrognanMagicMax	DrognanMagicLvl	HraltiMin	HraltiMax	HraltiMagicMin	HraltiMagicMax	HratliMagicLvl	AlkorMin	AlkorMax	AlkorMagicMin	AlkorMagicMax	AlkorMagicLvl	OrmusMin	OrmusMax	OrmusMagicMin	OrmusMagicMax	OrmusMagicLvl	ElzixMin	ElzixMax	ElzixMagicMin	ElzixMagicMax	ElzixMagicLvl	AshearaMin	AshearaMax	AshearaMagicMin	AshearaMagicMax	AshearaMagicLvl	CainMin	CainMax	CainMagicMin	CainMagicMax	CainMagicLvl	HalbuMin	HalbuMax	HalbuMagicMin	HalbuMagicMax	HalbuMagicLvl	JamellaMin	JamellaMax	JamellaMagicMin	JamellaMagicMax	JamellaMagicLvl	MalahMin	MalahMax	MalahMagicMin	MalahMagicMax	MalahMagicLvl	LarzukMin	LarzukMax	LarzukMagicMin	LarzukMagicMax	LarzukMagicLvl	DrehyaMin	DrehyaMax	DrehyaMagicMin	DrehyaMagicMax	DrehyaMagicLvl	Source Art	Game Art	Transform	InvTrans	SkipName	NightmareUpgrade	HellUpgrade	nameable
Cap/hat	0	0	1	1	7	20	2	0	1	0	0	14	0	1	0	64	6032	cap	cap	0	328	cap		cap	xap	uap		0	2	2	1	3	1	flpcap	invcap	invcapu	invcapu	0	0	0	0	0	0	0		0	0	0	helm		item_cap	12	item_cap	0	0	5		0	0	0	0	3	0	0	0			0	1	0	0	0	0	255	0	1	0	1	1	1	1	1	1	5	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	0	0	0	0	0	255	0	0	0	0	255	1	1	0	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			2	8	0	fhl	xap	1
Skull Cap	0	0	1	1	17	42	2	0	2	0	0	21	0	5	0	441	11102	skp	skp	0	328	skp		skp	xkp	ukp		0	2	2	1	3	1	flpskp	invskp			0	0	0	0	0	0	0		0	0	0	helm		item_helm	12	item_helm	0	0	5		0	0	0	0	3	0	0	0			0	3	0	0	0	0	255	0	1	0	1	1	1	1	1	1	10	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	0	0	0	0	0	255	0	0	0	0	255	1	2	1	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			2	8	0	bhm	xkp	1
Helm	0	0	1	1	32	72	2	0	4	0	0	28	0	11	0	1558	24568	hlm	hlm	0	328	hlm		hlm	xlm	ulm		0	2	2	1	3	1	flphlm	invhlm	invhlmu	invhlmu	0	0	0	0	0	0	0		0	0	0	helm		item_helm	12	item_helm	0	0	5		0	0	0	0	3	0	0	0			0	3	0	0	0	0	255	0	1	0	1	1	0	0	0	0	255	1	2	1	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	1	1	0	0	0	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			2	8	0	ghm	xlm	1
Full Helm	0	0	1	1	49	106	2	0	7	0	0	36	0	15	0	3095	43212	fhl	fhl	0	328	fhl		fhl	xhl	uhl		0	2	2	1	3	1	flpfhl	invfhl	invfhlu	invfhlu	0	0	0	0	0	0	0		0	0	0	helm		item_helm	12	item_helm	0	0	5		0	0	0	0	3	0	0	0			0	3	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	1	0	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	1	0	1	1	1	1	0	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	8	0	xap	xhl	1
Bone Helm	0	0	1	1	60	131	2	0	10	0	0	48	0	19	0	5122	77564	bhm	bhm	0	328	bhm		bhm	xh9	uh9		0	2	2	1	3	1	flpbhm	invbhm	invbhmu	invbhmu	0	0	0	0	0	0	0		0	0	0	helm		item_helm	12	item_helm	0	0	5		2	0	0	0	3	0	0	0			0	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	2	1	3	20	0	0	0	0	0	0	0	0	0	255	0	0	0	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	1	0	1	1			2	8	0	xkp	xh9	1
Great Helm	0	0	1	1	73	154	2	0	14	0	0	48	0	23	0	6177	99034	ghm	ghm	0	328	ghm		ghm	xhm	uhm		0	2	2	1	3	1	flpghm	invghm			0	0	0	0	0	0	0		0	0	0	helm		item_helm	12	item_helm	0	0	5		0	0	0	0	3	0	0	0			0	3	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	2	2	1	1	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	1	1	1	1	1	1	1	1	1	1	1	1	1	20	0	0	0	0	1	0	0	0	0	255	0	1	1	1	20	0	0	0	0	255			2	8	0	xlm	xhm	1
War Hat	0	0	1	1	102	226	4	0	18	0	0	14	0	34	0	13560	164122	xap	xap	0	328	cap		cap	xap	uap		0	2	2	1	3	1	flpcap	invwrht			0	0	0	0	0	0	0		0	0	0	helm		item_cap	12	item_cap	0	0	5		0	0	0	0	3	0	0	0			0	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			2	8	0	xxx	xxx	1
Sallet	0	0	1	1	123	274	4	0	23	0	0	21	0	37	0	17210	227294	xkp	xkp	0	328	skp		skp	xkp	ukp		0	2	2	1	3	1	flpskp	invsalt	invxkpu	invxkpu	0	0	0	0	0	0	0		0	0	0	helm		item_helm	12	item_helm	0	0	5		0	0	0	0	3	0	0	0			0	3	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			2	8	0	xxx	xxx	1
Casque	0	0	1	1	149	324	4	0	28	0	0	28	0	42	0	23075	343608	xlm	xlm	0	328	hlm		hlm	xlm	ulm		0	2	2	1	3	1	flphlm	invcasq	invhlmu	invhlmu	0	0	0	0	0	0	0		0	0	0	helm		item_helm	12	item_helm	0	0	5		0	0	0	0	3	0	0	0			0	3	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			2	8	0	xxx	xxx	1
Basinet	0	0	1	1	177	380	4	0	34	0	0	36	0	45	0	29083	467820	xhl	xhl	0	328	fhl		fhl	xhl	uhl		0	2	2	1	3	1	flpfhl	invfhl	invfhlu	invfhlu	0	0	0	0	0	0	0		0	0	0	helm		item_helm	12	item_helm	0	0	5		0	0	0	0	3	0	0	0			0	3	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	8	0	xxx	xxx	1
