Name	version	spawnable	rare	level	maxlevel	levelreq	class	classlevelreq	frequency	group	mod1code	mod1param	mod1min	mod1max	mod2code	mod2param	mod2min	mod2max	mod3code	mod3param	mod3min	mod3max	transform	transformcolor	itype1	itype2	itype3	itype4	itype5	itype6	itype7	etype1	etype2	etype3	divide	multiply	add
Fletcher's	100	1	1	1	0	15		0	3	300	ease	0	800	1000	skilltab	0	1	1		0	0	0			armo	weap	    	    	    	    	    	    	    	    	0	0	0
Bowyer's	100	1	1	40	0	30		0	2	300	ease	0	800	1000	skilltab	0	2	2		0	0	0			armo	weap	    	    	    	    	    	    	    	    	0	0	0
Archer's	100	1	1	60	0	45		0	1	300	ease	0	800	1000	skilltab	0	3	3		0	0	0			armo	weap	    	    	    	    	    	    	    	    	0	0	0
Acrobat's	100	1	1	1	0	15		0	3	301	ease	0	800	1000	skilltab	1	1	1		0	0	0			armo	weap	    	    	    	    	    	    	    	    	0	0	0
Gymnast's	100	1	1	40	0	30		0	2	301	ease	0	800	1000	skilltab	1	2	2		0	0	0			armo	weap	    	    	    	    	    	    	    	    	0	0	0
Athlete's	100	1	1	60	0	45		0	1	301	ease	0	800	1000	skilltab	1	3	3		0	0	0			armo	weap	    	    	    	    	    	    	    	    	0	0	0
Harpoonist's	100	1	1	1	0	15		0	3	302	ease	0	800	1000	skilltab	2	1	1		0	0	0			armo	weap	    	    	    	    	    	    	    	    	0	0	0
Spearmaiden's	100	1	1	40	0	30		0	2	302	ease	0	800	1000	skilltab	2	2	2		0	0	0			armo	weap	    	    	    	    	    	    	    	    	0	0	0
Lancer's	100	1	1	60	0	45		0	1	302	ease	0	800	1000	skilltab	2	3	3		0	0	0			armo	weap	    	    	    	    	    	    	    	    	0	0	0
of the Jackal	100	1	1	1	0	3		0	6	303	ease	0	800	1000	hp	0	15	25		0	0	0			armo	weap	    	    	    	    	    	    	    	    	0	0	0
of the Fox	100	1	1	11	0	8		0	5	303	ease	0	800	1000	hp	0	30	50		0	0	0			armo	weap	    	    	    	    	    	    	    	    	0	0	0
of the Wolf	100	1	1	27	0	20		0	4	303	ease	0	800	1000	hp	0	55	100		0	0	0			armo	weap	    	    	    	    	    	    	    	    	0	0	0
of the Tiger	100	1	1	43	0	35		0	3	303	ease	0	800	1000	hp	0	105	150		0	0	0			armo	weap	    	    	    	    	    	    	    	    	0	0	0
of the Mammoth	100	1	1	59	0	51		0	2	303	ease	0	800	1000	hp	0	155	200		0	0	0			armo	weap	    	    	    	    	    	    	    	    	0	0	0
of the Colossus	100	1	1	75	0	67		0	1	303	ease	0	800	1000	hp	0	205	300		0	0	0			armo	weap	    	    	    	    	    	    	    	    	0	0	0
Lizard's	100	1	1	3	0	2		0	4	303	ease	0	800	1000	mana	0	5	25		0	0	0			armo	weap	    	    	    	    	    	    	    	    	0	0	0
Snake's	100	1	1	12	0	9		0	3	303	ease	0	800	1000	mana	0	30	50		0	0	0			armo	weap	    	    	    	    	    	    	    	    	0	0	0
Serpent's	100	1	1	23	0	16		0	2	303	ease	0	800	1000	mana	0	55	100		0	0	0			armo	weap	    	    	    	    	    	    	    	    	0	0	0
Drake's	100	1	1	34	0	26		0	2	303	ease	0	800	1000	mana	0	105	150		0	0	0	1	cblu	armo	weap	    	    	    	    	    	    	    	    	0	0	0
Dragon's	100	1	1	45	0	37		0	1	303	ease	0	800	1000	mana	0	155	200		0	0	0	1	cblu	armo	weap	    	    	    	    	    	    	    	    	0	0	0
Wyrm's	100	1	1	56	0	48		0	1	303	ease	0	800	1000	mana	0	205	300		0	0	0	1	cblu	armo	weap	    	    	    	    	    	    	    	    	0	0	0
Great Wyrm's	100	1	1	67	0	59		0	1	303	ease	0	800	1000	mana	0	301	401		0	0	0	1	cblu	armo	weap	    	    	    	    	    	    	    	    	0	0	0
Shimmering	100	1	1	1	0	3		0	8	304	ease	0	800	1000	res-all	0	10	20	ac	0	5	10			armo	weap	    	    	    	    	    	    	    	    	0	0	0
Rainbow	100	1	1	18	0	13		0	7	304	ease	0	800	1000	res-all	0	15	30	ac	0	10	20			armo	weap	    	    	    	    	    	    	    	    	0	0	0
Scintillating	100	1	1	28	0	21		0	6	304	ease	0	800	1000	res-all	0	30	60	ac	0	15	30			armo	weap	    	    	    	    	    	    	    	    	0	0	0
Prismatic	100	1	1	39	0	31		0	5	304	ease	0	800	1000	res-all	0	50	70	ac	0	20	40			armo	weap	    	    	    	    	    	    	    	    	0	0	0
Chromatic	100	1	1	50	0	42		0	4	304	ease	0	800	1000	res-all	0	70	100	ac	0	25	50			armo	weap	    	    	    	    	    	    	    	    	0	0	0
Sharp	100	1	1	1	0	3		0	3	304	ease	0	800	1000	att%	0	15	30	dmg%	0	10	20			armo	weap	    	    	    	    	    	    	    	    	0	0	0
Fine	100	1	1	18	0	13		0	3	304	ease	0	800	1000	att%	0	31	60	dmg%	0	21	30			armo	weap	    	    	    	    	    	    	    	    	0	0	0
Warrior's	100	1	1	28	0	21		0	2	304	ease	0	800	1000	att%	0	61	80	dmg%	0	31	40			armo	weap	    	    	    	    	    	    	    	    	0	0	0
Soldier's	100	1	1	39	0	31		0	2	304	ease	0	800	1000	att%	0	81	100	dmg%	0	41	50			armo	weap	    	    	    	    	    	    	    	    	0	0	0
Knight's	100	1	1	50	0	42		0	2	304	ease	0	800	1000	att%	0	101	121	dmg%	0	51	65	1	dgld	armo	weap	    	    	    	    	    	    	    	    	0	0	0
Blight's	100	1	1	2	0	2		0	3	305	ease	0	800	1000	dmg-pois	50	16	32		0	0	0			armo	weap	    	    	    	    	    	    	    	    	0	0	0
Venom's	100	1	1	4	0	4		0	2	305	ease	0	800	1000	dmg-pois	50	32	64		0	0	0			armo	weap	    	    	    	    	    	    	    	    	0	0	0
Pestilence's	100	1	1	6	0	6		0	2	305	ease	0	800	1000	dmg-pois	50	64	128		0	0	0			armo	weap	    	    	    	    	    	    	    	    	0	0	0
Anthrax'	100	1	1	8	0	8		0	2	305	ease	0	800	1000	dmg-pois	50	128	256		0	0	0			armo	weap	    	    	    	    	    	    	    	    	0	0	0
Magic Missiles	100	1	0	16	0	16		0	5	306	att	0	50	200	dmg-mag	0	16	48	howl	0	10	40			mboq	mxbq	    	    	    	    	    	    	    	    	0	0	0
Magic Missiles	100	1	0	16	0	16		0	5	306	att	0	50	200	dmg-norm	0	16	48	howl	0	10	40			mboq	mxbq	    	    	    	    	    	    	    	    	0	0	0
Magic Missiles	100	1	0	16	0	16		0	5	306	att	0	50	200	dmg-fire	0	16	48	howl	0	10	40			mboq	mxbq	    	    	    	    	    	    	    	    	0	0	0
Magic Missiles	100	1	0	16	0	16		0	5	306	att	0	50	200	dmg-ltng	0	8	60	howl	0	10	40			mboq	mxbq	    	    	    	    	    	    	    	    	0	0	0
Magic Missiles	100	1	0	16	0	16		0	5	306	att	0	50	200	dmg-cold	100	18	36	howl	0	10	40			mboq	mxbq	    	    	    	    	    	    	    	    	0	0	0
Magic Missiles	100	1	0	16	0	16		0	5	306	att	0	50	200	dmg-pois	50	90	90	howl	0	10	40			mboq	mxbq	    	    	    	    	    	    	    	    	0	0	0
