Level	Amazon	Sorceress	Necromancer	Paladin	Barbarian	Druid	Assassin	ExpRatio
MaxLvl	10000	10000	10000	10000	10000	10000	10000	123
0	0	0	0	0	0	0	0	1024
1	115	115	115	115	115	115	115	1024
2	250	250	250	250	250	250	250	1024
3	437	437	437	437	437	437	437	1024
4	702	702	702	702	702	702	702	1024
5	1075	1075	1075	1075	1075	1075	1075	1024
6	1587	1587	1587	1587	1587	1587	1587	1024
7	2275	2275	2275	2275	2275	2275	2275	1024
8	3175	3175	3175	3175	3175	3175	3175	1024
9	4327	4327	4327	4327	4327	4327	4327	1024
10	5775	5775	5775	5775	5775	5775	5775	1024
11	7562	7562	7562	7562	7562	7562	7562	1024
12	9737	9737	9737	9737	9737	9737	9737	1024
13	12350	12350	12350	12350	12350	12350	12350	1024
14	15452	15452	15452	15452	15452	15452	15452	1024
15	19100	19100	19100	19100	19100	19100	19100	1024
16	23350	23350	23350	23350	23350	23350	23350	1024
17	28262	28262	28262	28262	28262	28262	28262	1024
18	33900	33900	33900	33900	33900	33900	33900	1024
19	40330	40330	40330	40330	40330	40330	40330	1024
20	47625	47625	47625	47625	47625	47625	47625	1024
21	55862	55862	55862	55862	55862	55862	55862	1024
22	65125	65125	65125	65125	65125	65125	65125	1024
23	75500	75500	75500	75500	75500	75500	75500	1024
24	87080	87080	87080	87080	87080	87080	87080	1024
25	99962	99962	99962	99962	99962	99962	99962	1024
26	114250	114250	114250	114250	114250	114250	114250	1024
27	130050	130050	130050	130050	130050	130050	130050	1024
28	147475	147475	147475	147475	147475	147475	147475	1024
29	166642	166642	166642	166642	166642	166642	166642	1024
30	187675	187675	187675	187675	187675	187675	187675	1024
31	210700	210700	210700	210700	210700	210700	210700	1024
32	235850	235850	235850	235850	235850	235850	235850	1024
33	263262	263262	263262	263262	263262	263262	263262	1024
34	293080	293080	293080	293080	293080	293080	293080	1024
35	325450	325450	325450	325450	325450	325450	325450	1024
36	360525	360525	360525	360525	360525	360525	360525	1024
37	398462	398462	398462	398462	398462	398462	398462	1024
38	439425	439425	439425	439425	439425	439425	439425	1024
39	483580	483580	483580	483580	483580	483580	483580	1024
40	531100	531100	531100	531100	531100	531100	531100	1024
41	582162	582162	582162	582162	582162	582162	582162	1024
42	636950	636950	636950	636950	636950	636950	636950	1024
43	695650	695650	695650	695650	695650	695650	695650	1024
44	758455	758455	758455	758455	758455	758455	758455	1024
45	825562	825562	825562	825562	825562	825562	825562	1024
46	897175	897175	897175	897175	897175	897175	897175	1024
47	973500	973500	973500	973500	973500	973500	973500	1024
48	1054750	1054750	1054750	1054750	1054750	1054750	1054750	1024
49	1141142	1141142	1141142	1141142	1141142	1141142	1141142	1024
50	1232900	1232900	1232900	1232900	1232900	1232900	1232900	1024
51	1332900	1332900	1332900	1332900	1332900	1332900	1332900	1024
52	1432900	1432900	1432900	1432900	1432900	1432900	1432900	1024
53	1532900	1532900	1532900	1532900	1532900	1532900	1532900	1024
54	1632900	1632900	1632900	1632900	1632900	1632900	1632900	1024
55	1732900	1732900	1732900	1732900	1732900	1732900	1732900	1024
56	1832900	1832900	1832900	1832900	1832900	1832900	1832900	1024
57	1932900	1932900	1932900	1932900	1932900	1932900	1932900	1024
58	2032900	2032900	2032900	2032900	2032900	2032900	2032900	1024
59	2132900	2132900	2132900	2132900	2132900	2132900	2132900	1024
60	2232900	2232900	2232900	2232900	2232900	2232900	2232900	1024
61	2332900	2332900	2332900	2332900	2332900	2332900	2332900	1024
62	2432900	2432900	2432900	2432900	2432900	2432900	2432900	1024
63	2532900	2532900	2532900	2532900	2532900	2532900	2532900	1024
64	2632900	2632900	2632900	2632900	2632900	2632900	2632900	1024
65	2732900	2732900	2732900	2732900	2732900	2732900	2732900	1024
66	2832900	2832900	2832900	2832900	2832900	2832900	2832900	1024
67	2932900	2932900	2932900	2932900	2932900	2932900	2932900	1024
68	3032900	3032900	3032900	3032900	3032900	3032900	3032900	1024
69	3132900	3132900	3132900	3132900	3132900	3132900	3132900	1024
70	3232900	3232900	3232900	3232900	3232900	3232900	3232900	1024
71	3332900	3332900	3332900	3332900	3332900	3332900	3332900	1024
72	3432900	3432900	3432900	3432900	3432900	3432900	3432900	1024
73	3532900	3532900	3532900	3532900	3532900	3532900	3532900	1024
74	3632900	3632900	3632900	3632900	3632900	3632900	3632900	1024
75	3732900	3732900	3732900	3732900	3732900	3732900	3732900	1024
76	3832900	3832900	3832900	3832900	3832900	3832900	3832900	1024
77	3932900	3932900	3932900	3932900	3932900	3932900	3932900	1024
78	4032900	4032900	4032900	4032900	4032900	4032900	4032900	1024
79	4132900	4132900	4132900	4132900	4132900	4132900	4132900	1024
80	4232900	4232900	4232900	4232900	4232900	4232900	4232900	1024
81	4332900	4332900	4332900	4332900	4332900	4332900	4332900	1024
82	4432900	4432900	4432900	4432900	4432900	4432900	4432900	1024
83	4532900	4532900	4532900	4532900	4532900	4532900	4532900	1024
84	4632900	4632900	4632900	4632900	4632900	4632900	4632900	1024
85	4732900	4732900	4732900	4732900	4732900	4732900	4732900	1024
86	4832900	4832900	4832900	4832900	4832900	4832900	4832900	1024
87	4932900	4932900	4932900	4932900	4932900	4932900	4932900	1024
88	5032900	5032900	5032900	5032900	5032900	5032900	5032900	1024
89	5132900	5132900	5132900	5132900	5132900	5132900	5132900	1024
90	5232900	5232900	5232900	5232900	5232900	5232900	5232900	1024
91	5332900	5332900	5332900	5332900	5332900	5332900	5332900	1024
92	5432900	5432900	5432900	5432900	5432900	5432900	5432900	1024
93	5534900	5534900	5534900	5534900	5534900	5534900	5534900	1024
94	5637900	5637900	5637900	5637900	5637900	5637900	5637900	1024
95	5741900	5741900	5741900	5741900	5741900	5741900	5741900	1024
96	5846900	5846900	5846900	5846900	5846900	5846900	5846900	1024
97	5956900	5956900	5956900	5956900	5956900	5956900	5956900	1024
98	6071900	6071900	6071900	6071900	6071900	6071900	6071900	1024
99	6191900	6191900	6191900	6191900	6191900	6191900	6191900	1024
100	6316900	6316900	6316900	6316900	6316900	6316900	6316900	1024
101	6466900	6466900	6466900	6466900	6466900	6466900	6466900	1024
102	6616900	6616900	6616900	6616900	6616900	6616900	6616900	1024
103	6766900	6766900	6766900	6766900	6766900	6766900	6766900	1024
104	6916900	6916900	6916900	6916900	6916900	6916900	6916900	1024
105	7066900	7066900	7066900	7066900	7066900	7066900	7066900	1024
106	7216900	7216900	7216900	7216900	7216900	7216900	7216900	1024
