Name	Level	Rooms	Rooms(N)	Rooms(H)	SizeX	SizeY	Merge	Beta
Act 1 - Cave 1	8	9	9	9	24	24	500	1
Act 1 - Cave 2	9	12	12	12	24	24	500	1
Act 1 - Cave 3	10	18	18	18	24	24	500	1
Act 1 - Cave 4	11	12	12	12	24	24	500	1
Act 1 - Cave 5	12	12	12	12	24	24	500	1
Act 1 - Cave 1 Treasure	0	1	1	1	24	24	0	1
Act 1 - Cave 2 Treasure	13	1	1	1	24	24	0	1
Act 1 - Cave 3 Treasure	14	1	1	1	24	24	0	1
Act 1 - Cave 4 Treasure	15	1	1	1	24	24	0	1
Act 1 - Cave 5 Treasure	16	1	1	1	24	24	0	1
Act 1 - Crypt 1 A	18	36	36	36	8	8	500	1
Act 1 - Crypt 2 A	19	36	36	36	8	8	500	1
Act 1 - Crypt 3 A	21	30	30	30	8	8	500	1
Act 1 - Crypt 3 B	22	30	30	30	8	8	500	1
Act 1 - Crypt 3 C	23	30	30	30	8	8	500	1
Act 1 - Crypt 3 D	24	30	30	30	8	8	500	1
Act 1 - Crypt 3 E	25	24	24	24	8	8	500	1
Act 1 - Barracks	28	20	20	20	10	14	500	1
Act 1 - Jail 1	29	24	24	24	12	12	500	1
Act 1 - Jail 2	30	28	28	28	12	12	500	1
Act 1 - Jail 3	31	32	32	32	12	12	500	1
Act 1 - Catacombs 1	34	24	24	24	12	12	500	1
Act 1 - Catacombs 2	35	28	28	28	12	12	500	1
Act 1 - Catacombs 3	36	32	32	32	12	12	500	1
Act 1 - Catacombs 4	37	18	18	18	12	12	500	1
Act 2 - Sewer 1	47	18	18	18	12	12	500	1
Act 2 - Sewer 2	48	30	30	30	12	12	500	1
Act 2 - Sewer 3	49	36	36	36	12	12	500	1
Act 2 - Corrupt Harem 1	51	4	4	4	16	16	1000	1
Act 2 - Basement  1	52	4	4	4	16	16	1000	1
Act 2 - Basement  2	53	4	4	4	16	16	1000	1
Act 2 - Basement  3	54	4	4	4	16	16	1000	1
Act 2 - Tomb 1 A	55	16	16	16	16	16	500	1
Act 2 - Tomb 2 A	56	20	20	20	16	16	500	1
Act 2 - Tomb 2 B	57	20	20	20	16	16	500	1
Act 2 - Tomb 3 A	58	12	12	12	16	16	500	1
Act 2 - Tomb 1 Treasure	59	24	24	24	16	16	500	1
Act 2 - Tomb 2 Treasure	60	30	30	30	16	16	500	1
Act 2 - Tomb 3 Treasure	61	6	6	6	16	16	500	1
Act 2 - Lair 1 A	62	24	24	24	10	10	500	1
Act 2 - Lair 1 B	63	20	20	20	10	10	500	1
Act 2 - Lair 1 Treasure	64	18	18	18	10	10	500	1
Act 2 - Sewer 4	65	48	48	48	12	12	500	1
Act 2 - Tomb Tal 1	66	30	30	30	16	16	500	1
Act 2 - Tomb Tal 2	67	30	30	30	16	16	500	1
Act 2 - Tomb Tal 3	68	30	30	30	16	16	500	1
Act 2 - Tomb Tal 4	69	30	30	30	16	16	500	1
Act 2 - Tomb Tal 5	70	30	30	30	16	16	500	1
Act 2 - Tomb Tal 6	71	30	30	30	16	16	500	1
Act 2 - Tomb Tal 7	72	30	30	30	16	16	500	1
Act 2 - Arcane	74	61	61	61	12	12	1000	1
Act 3 - Spider 1	84	16	16	16	16	16	500	1
Act 3 - Spider 2	85	16	16	16	16	16	500	1
Act 3 - Dungeon 1 A	86	16	16	16	14	14	500	1
Act 3 - Dungeon 1 B	87	16	16	16	14	14	500	1
Act 3 - Dungeon 2 A	88	16	16	16	14	14	500	1
Act 3 - Dungeon 2 B	89	16	16	16	14	14	500	1
Act 3 - Dungeon 1 Treasure	90	4	4	4	14	14	500	1
Act 3 - Dungeon 2 Treasure	91	4	4	4	14	14	500	1
Act 3 - Sewer 1	92	32	32	32	12	12	800	1
Act 3 - Sewer 2	93	6	6	6	12	12	800	1
Act 3 - Mephisto 1	100	24	24	24	12	12	500	1
Act 3 - Mephisto 2	101	30	30	30	12	12	500	1
Act 4 - Lava 1	107	24	24	24	24	24	500	1
Act 5 - Ice Caves 1	113	10	10	10	16	16	500	1
Act 5 - Ice Caves 2	115	10	10	10	16	16	500	1
Act 5 - Ice Caves 3	118	15	15	15	16	16	500	1
Act 5 - Ice Caves 1A	114	1	1	1	64	64	500	1
Act 5 - Ice Caves 2A	116	1	1	1	32	32	500	1
Act 5 - Ice Caves 3A	119	1	1	1	32	32	500	1
Act 5 - Temple 1	122	4	4	4	40	40	500	1
Act 5 - Temple 2	123	4	4	4	40	40	500	1
Act 5 - Hell 1	125	3	3	3	24	24	500	1
Act 5 - Hell 2	126	3	3	3	24	24	500	1
Act 5 - Hell 3	127	3	3	3	24	24	500	1
Act 5 - Baal 1	128	9	9	9	16	16	500	1
Act 5 - Baal 1	129	9	9	9	16	16	500	1
Act 5 - Baal 1	130	9	9	9	16	16	500	1
Act 5 - Baal 1	132	9	9	9	16	16	500	1
