Name	Id	SelectX	SelectY	SelectDX	SelectDY	ExitWalkX	ExitWalkY	OffsetX	OffsetY	LitVersion	Tiles	Direction	Beta
	0	-90	-100	90	110	5	0	1	-1	1	2	b	1
	1	-15	-90	90	110	0	5	3	1	1	2	b	1
	2	-60	-60	85	100	5	0	-1	1	1	2	b	1
	3	-25	-60	85	100	0	5	1	-1	1	2	b	1
	4	-30	-120	120	150	3	5	2	5	1	2	b	1
	5	-25	-75	80	100	3	5	1	3	1	2	b	1
	6	-90	-110	110	140	5	0	5	0	0	2	b	1
	7	-70	-90	90	120	5	0	5	2	0	2	b	1
	8	-10	-90	60	110	0	5	5	1	1	2	b	1
	9	-30	-90	60	110	5	0	1	1	1	2	b	1
	10	-10	-50	150	80	3	5	-4	0	1	2	b	1
	11	-50	-130	60	140	5	3	4	-2	0	2	b	1
	12	-50	-90	80	110	5	0	2	3	1	2	b	1
	13	-50	-110	110	150	0	5	5	1	1	2	b	1
	14	-40	-80	210	110	0	5	-1	3	1	2	b	1
	15	-30	-110	85	130	0	5	3	1	1	2	b	1
	16	-35	-130	90	150	0	5	7	1	1	2	b	1
	17	-50	-110	110	150	0	5	5	1	1	2	b	1
	18	-60	-80	210	110	0	5	-1	3	1	2	b	1
	19	-10	-10	0	0	5	5	0	0	0	2	b	1
	20	-25	-95	70	130	5	0	-2	0	0	2	b	1
	21	20	-80	65	140	-5	0	10	-2	0	2	b	1
	22	-25	-160	100	180	2	5	5	3	1	2	b	1
	23	-65	-55	150	110	0	-5	0	0	1	2	b	1
	24	-120	-20	150	130	5	0	5	2	0	2	b	1
	25	-35	-70	95	130	5	2	0	-2	0	2	b	1
	26	-25	-150	80	180	0	5	4	0	1	2	b	1
	27	-40	-160	80	180	5	0	0	5	1	2	b	1
	28	-20	-40	170	100	-5	5	-3	1	1	2	b	1
	29	-50	-20	160	85	-5	0	-1	-3	1	2	b	1
	30	-25	-100	60	125	0	5	2	0	1	2	b	1
	31	-40	-100	60	125	5	0	0	2	1	2	b	1
	32	-30	-30	170	90	-5	5	-3	0	1	2	b	1
	33	-70	-140	80	160	5	0	1	1	0	2	b	1
	34	-50	-120	90	150	5	0	1	1	0	2	b	1
	35	-30	-140	80	160	0	5	6	2	0	2	b	1
	36	0	-140	100	150	0	5	1	2	0	2	b	1
	37	-30	-140	80	160	0	5	4	1	0	2	b	1
	38	-40	-190	90	210	5	5	0	0	0	2	b	1
	39	-40	-210	50	230	5	0	-1	1	0	2	b	1
	40	-30	-100	60	140	5	0	0	1	0	2	b	1
	41	-90	-140	70	160	5	0	-1	-5	0	2	b	1
	42	-10	-110	60	150	0	5	-2	-3	0	2	b	1
	43	0	-130	90	150	0	5	-1	0	0	2	b	1
	44	-10	-210	70	240	0	5	0	-3	0	2	b	1
	45	-30	-115	75	145	0	5	2	0	1	2	b	1
	46	-45	-120	85	145	5	0	0	2	1	2	b	1
	47	-10	-60	90	90	5	5	-2	2	1	2	b	1
	48	-20	-70	80	85	0	5	1	0	1	2	b	1
	49	-115	-10	160	70	0	-5	-3	-5	1	2	b	1
	50	-10	-10	0	0	5	5	0	0	0	2	b	1
	51	-60	-70	70	90	5	0	0	1	0	2	b	1
	52	10	-100	80	110	0	5	4	1	1	2	b	1
	53	-15	-70	70	110	0	5	0	0	0	2	b	1
	54	-130	-10	170	100	0	-5	-4	-6	0	2	b	1
	55	-10	-100	90	130	0	5	3	1	1	2	b	1
	56	-40	-20	170	100	-5	0	-4	-1	1	2	b	1
	57	-60	-40	120	90	0	5	0	0	1	2	b	1
	58	-75	-110	100	150	5	0	1	1	1	2	b	1
	59	-25	-110	100	150	0	5	6	1	1	2	b	1
	60	-10	-10	0	0	5	5	0	0	0	2	b	1
	61	-10	-10	0	0	5	5	0	0	0	2	b	1
	62	-50	-110	80	140	5	0	1	2	1	2	b	1
	63	-30	-110	80	140	0	5	2	1	1	2	b	1
	64	-10	-10	0	0	5	5	0	0	0	2	b	1
	65	-65	-150	125	180	5	0	1	0	1	2	b	1
	66	-60	-150	125	180	0	5	5	1	1	2	b	1
	67	-65	-150	125	180	5	0	1	0	1	2	b	1
	68	-60	-150	125	180	0	5	5	1	1	2	b	1
	69	-60	-40	150	160	-5	0	2	2	0	2	b	1
	70	-90	-50	160	120	5	2	0	0	0	2	b	1
	71	-70	-80	80	100	5	2	2	6	1	4	l	1
	71	-15	-90	70	100	-1	5	6	2	1	4	r	1
	72	-20	-120	75	100	5	2	2	2	1	4	b	1
	73	-60	-110	90	115	5	2	0	5	1	2	l	1
	73	-10	-120	100	120	2	5	5	1	1	2	r	1
	74	-60	-110	90	115	5	2	0	5	1	2	l	1
	74	-20	-110	90	115	2	5	4	0	1	2	r	1
	75	-5	-110	80	110	2	5	6	3	1	2	b	1
	76	0	-110	95	100	2	5	2	0	1	2	b	1
	77	0	-70	140	80	5	2	-2	3	1	2	b	1
	78	-20	-110	100	110	5	2	3	0	1	2	b	1
	79	-40	-110	0	0	2	5	2	1	0	2	b	1
	80	-20	-110	0	0	2	5	2	1	0	2	b	1
	81	-70	-110	95	115	5	2	1	4	1	2	l	1
	81	-20	-110	80	115	2	5	4	1	1	2	r	1
	82	-70	-110	95	115	5	2	1	4	1	2	l	1
	82	-20	-110	80	115	2	5	4	1	1	2	r	1
	83	-48	-62	106	70	1	4	2	3	0	2	b	1
	84	-86	-47	144	78	0	6	2	2	0	2	b	1
