Name	version	spawnable	rare	level	maxlevel	levelreq	classspecific	class	classlevelreq	frequency	group	mod1code	mod1param	mod1min	mod1max	mod2code	mod2param	mod2min	mod2max	mod3code	mod3param	mod3min	mod3max	transform	transformcolor	itype1	itype2	itype3	itype4	itype5	itype6	itype7	etype1	etype2	etype3	etype4	etype5	divide	multiply	add
Stout	100	1	1	1	0	1			0	1	101	ac	0	3	5		0	0	0		0	0	0			lcha	qcha	ncha	brac	ocha	rcha	kcha	    	    	    	    	    	0	0	0
Stout	100	1	1	7	0	5			0	1	101	ac	0	6	9		0	0	0		0	0	0			lcha	qcha	ncha	brac	ocha	rcha	kcha	    	    	    	    	    	0	0	0
Stout	100	1	1	12	0	9			0	1	101	ac	0	10	12		0	0	0		0	0	0			lcha	qcha	ncha	brac	ocha	rcha	kcha	    	    	    	    	    	0	0	0
Burly	100	1	1	17	0	12			0	1	101	ac	0	13	15		0	0	0		0	0	0			lcha	qcha	ncha	brac	ocha	rcha	kcha	    	    	    	    	    	0	0	0
Burly	100	1	1	22	0	16			0	1	101	ac	0	16	22		0	0	0		0	0	0			lcha	qcha	ncha	brac	ocha	rcha	kcha	    	    	    	    	    	0	0	0
Burly	100	1	1	27	0	20			0	1	101	ac	0	23	30		0	0	0		0	0	0			lcha	qcha	ncha	brac	ocha	rcha	kcha	    	    	    	    	    	0	0	0
Stalwart	100	1	0	32	0	24			0	1	101	ac	0	33	40		0	0	0		0	0	0			lcha	qcha	ncha	brac	ocha	rcha	kcha	    	    	    	    	    	0	0	0
Stalwart	100	1	0	37	0	29			0	1	101	ac	0	44	50		0	0	0		0	0	0			lcha	qcha	ncha	brac	ocha	rcha	kcha	    	    	    	    	    	0	0	0
Stalwart	100	1	0	42	0	34			0	1	101	ac	0	60	100		0	0	0		0	0	0			lcha	qcha	ncha	brac	ocha	rcha	kcha	    	    	    	    	    	0	0	0
Stout	100	1	1	1	0	1			0	1	101	ac	0	2	3		0	0	0		0	0	0			mcha	tcha	hcha	brac	wcha	rcha	    	    	    	    	    	    	0	0	0
Stout	100	1	1	14	0	10			0	1	101	ac	0	4	6		0	0	0		0	0	0			mcha	tcha	hcha	brac	wcha	rcha	    	    	    	    	    	    	0	0	0
Stout	100	1	1	20	0	15			0	1	101	ac	0	8	12		0	0	0		0	0	0			mcha	tcha	hcha	brac	wcha	rcha	    	    	    	    	    	    	0	0	0
Burly	100	1	1	26	0	19			0	1	101	ac	0	13	18		0	0	0		0	0	0			mcha	tcha	hcha	brac	wcha	rcha	    	    	    	    	    	    	0	0	0
Burly	100	1	1	32	0	24			0	1	101	ac	0	20	30		0	0	0		0	0	0			mcha	tcha	hcha	brac	wcha	rcha	    	    	    	    	    	    	0	0	0
Stalwart	100	1	0	38	0	30			0	1	101	ac	0	30	40		0	0	0		0	0	0			mcha	tcha	hcha	brac	wcha	rcha	    	    	    	    	    	    	0	0	0
Stalwart	100	1	0	45	0	37			0	1	101	ac	0	45	60		0	0	0		0	0	0			mcha	tcha	hcha	brac	wcha	rcha	    	    	    	    	    	    	0	0	0
Stout	100	1	1	1	0	1			0	1	101	ac	0	1	1		0	0	0		0	0	0			scha	tcha	hcha	brac	wcha	rcha	    	    	    	    	    	    	0	0	0
Stout	100	1	1	21	0	15			0	1	101	ac	0	4	8		0	0	0		0	0	0			scha	tcha	hcha	brac	wcha	rcha	    	    	    	    	    	    	0	0	0
Burly	100	1	1	36	0	28			0	1	101	ac	0	15	20		0	0	0		0	0	0			scha	tcha	hcha	brac	wcha	rcha	    	    	    	    	    	    	0	0	0
Stalwart	100	1	0	48	0	40			0	1	101	ac	0	20	30		0	0	0		0	0	0			scha	tcha	hcha	brac	wcha	rcha	    	    	    	    	    	    	0	0	0
Blanched	100	1	1	1	0	1			0	1	101	ac	0	5	8		0	0	0		0	0	0	1	whit	jewl	ncha	brac	ocha	rcha	    	    	    	    	    	    	    	0	0	0
Eburin	100	1	1	16	0	12			0	1	101	ac	0	9	20		0	0	0		0	0	0	1	whit	jewl	ncha	brac	ocha	rcha	    	    	    	    	    	    	    	0	0	0
Bone	100	1	1	32	0	24			0	1	101	ac	0	21	40		0	0	0		0	0	0	1	whit	jewl	ncha	brac	ocha	rcha	    	    	    	    	    	    	    	0	0	0
Ivory	100	1	0	64	0	50			0	1	101	ac	0	41	64		0	0	0		0	0	0	1	whit	jewl	ncha	brac	ocha	rcha	    	    	    	    	    	    	    	0	0	0
Sturdy	1	1	1	1	0	1			0	1	101	ac%	0	10	20		0	0	0		0	0	0			armo	    	    	    	    	    	    	    	    	    	    	    	0	0	0
Sturdy	1	1	1	4	0	3			0	1	101	ac%	0	21	30		0	0	0		0	0	0			armo	    	    	    	    	    	    	    	    	    	    	    	0	0	0
Strong	1	1	1	9	0	6			0	1	101	ac%	0	31	40		0	0	0		0	0	0			armo	    	    	    	    	    	    	    	    	    	    	    	0	0	0
Glorious	1	1	1	19	0	14			0	1	101	ac%	0	41	50		0	0	0		0	0	0			armo	    	    	    	    	    	    	    	    	    	    	    	0	0	0
Blessed	1	1	1	25	0	18			0	1	101	ac%	0	51	65		0	0	0		0	0	0			armo	    	    	    	    	    	    	    	    	    	    	    	0	0	0
Saintly	1	1	1	31	0	23			0	1	101	ac%	0	66	80		0	0	0		0	0	0	1	dgld	armo	    	    	    	    	    	    	    	    	    	    	    	0	0	0
Holy	1	1	1	36	0	27			0	1	101	ac%	0	81	100		0	0	0		0	0	0	1	dgld	armo	    	    	    	    	    	    	    	    	    	    	    	0	0	0
Godly	100	1	0	45	0	38			0	1	101	ac%	0	101	200		0	0	0		0	0	0	1	dgld	armo	    	    	    	    	    	    	    	    	    	    	    	0	0	0
Devious	1	0	1	7	0	5			0	1	102	red-mag	0	1	1		0	0	0		0	0	0			shld	circ	orb 	wand	staf	    	    	    	    	    	    	    	0	0	0
Blank	1	0	1	14	0	10			0	1	102	red-mag	0	2	2		0	0	0		0	0	0			shld	circ	orb 	wand	staf	    	    	    	    	    	    	    	0	0	0
Null	100	0	0	21	0	16			0	1	102	red-mag	0	3	5		0	0	0		0	0	0	1	dblu	shld	circ	    	    	    	    	    	    	    	    	    	    	0	0	0
Antimagic	100	0	0	28	0	21			0	1	102	red-mag	0	6	10		0	0	0		0	0	0	1	dblu	shld	circ	    	    	    	    	    	    	    	    	    	    	0	0	0
Red	100	0	1	4	0	3			0	1	103	dmg-min	0	1	2		0	0	0		0	0	0	1	dred	lcha	qcha	mboq	mxbq	ncha	ocha	rcha	    	    	    	    	    	0	0	0
Red	100	0	1	16	0	12			0	1	103	dmg-min	0	3	3		0	0	0		0	0	0	1	dred	lcha	qcha	mboq	mxbq	ncha	ocha	rcha	    	    	    	    	    	0	0	0
Sanguinary	100	0	1	28	0	21			0	1	103	dmg-min	0	4	4		0	0	0		0	0	0	1	dred	lcha	qcha	mboq	mxbq	ncha	ocha	rcha	    	    	    	    	    	0	0	0
Sanguinary	100	0	1	40	0	32			0	1	103	dmg-min	0	5	6		0	0	0		0	0	0	1	dred	lcha	qcha	mboq	mxbq	ncha	ocha	rcha	    	    	    	    	    	0	0	0
Bloody	100	0	0	52	0	46			0	1	103	dmg-min	0	7	8		0	0	0		0	0	0	1	dred	lcha	qcha	mboq	mxbq	ncha	ocha	rcha	    	    	    	    	    	0	0	0
Red	100	0	1	11	0	8			0	1	103	dmg-min	0	1	2		0	0	0		0	0	0	1	dred	mcha	tcha	mboq	mxbq	hcha	wcha	rcha	    	    	    	    	    	0	0	0
Sanguinary	100	0	1	33	0	25			0	1	103	dmg-min	0	3	3		0	0	0		0	0	0	1	dred	mcha	tcha	mboq	mxbq	hcha	wcha	rcha	    	    	    	    	    	0	0	0
Bloody	100	0	0	55	0	47			0	1	103	dmg-min	0	4	4		0	0	0		0	0	0	1	dred	mcha	tcha	mboq	mxbq	hcha	wcha	rcha	    	    	    	    	    	0	0	0
Red	100	0	1	24	0	16			0	1	103	dmg-min	0	1	1		0	0	0		0	0	0	1	dred	scha	tcha	mboq	mxbq	hcha	wcha	rcha	    	    	    	    	    	0	0	0
Sanguinary	100	0	1	41	0	33			0	1	103	dmg-min	0	2	2		0	0	0		0	0	0	1	dred	scha	tcha	mboq	mxbq	hcha	wcha	rcha	    	    	    	    	    	0	0	0
Bloody	100	0	0	58	0	50			0	1	103	dmg-min	0	3	3		0	0	0		0	0	0	1	dred	scha	tcha	mboq	mxbq	hcha	wcha	rcha	    	    	    	    	    	0	0	0
Scarlet	100	1	1	8	0	6			0	1	103	dmg-min	0	1	4		0	0	0		0	0	0	1	dred	jewl	mboq	mxbq	ncha	ocha	wcha	rcha	    	    	    	    	    	0	0	0
Crimson	100	1	1	38	0	30			0	1	103	dmg-min	0	5	8		0	0	0		0	0	0	1	dred	jewl	mboq	mxbq	ncha	ocha	wcha	rcha	    	    	    	    	    	0	0	0
Jagged	100	0	1	3	0	2			0	1	104	dmg-max	0	1	2		0	0	0		0	0	0	1	blac	lcha	qcha	mboq	mxbq	ncha	ocha	rcha	    	    	    	    	    	0	0	0
Jagged	100	0	1	10	0	7			0	1	104	dmg-max	0	3	4		0	0	0		0	0	0	1	blac	lcha	qcha	mboq	mxbq	ncha	ocha	rcha	    	    	    	    	    	0	0	0
Jagged	100	0	1	17	0	12			0	1	104	dmg-max	0	5	6		0	0	0		0	0	0	1	blac	lcha	qcha	mboq	mxbq	ncha	ocha	rcha	    	    	    	    	    	0	0	0
Forked	100	0	1	25	0	18			0	1	104	dmg-max	0	7	8		0	0	0		0	0	0	1	blac	lcha	qcha	mboq	mxbq	ncha	ocha	rcha	    	    	    	    	    	0	0	0
Forked	100	0	1	32	0	24			0	1	104	dmg-max	0	9	10		0	0	0		0	0	0	1	blac	lcha	qcha	mboq	mxbq	ncha	ocha	rcha	    	    	    	    	    	0	0	0
Serrated	100	0	0	39	0	31			0	1	104	dmg-max	0	11	12		0	0	0		0	0	0	1	blac	lcha	qcha	mboq	mxbq	ncha	ocha	rcha	    	    	    	    	    	0	0	0
Serrated	100	0	0	47	0	39			0	1	104	dmg-max	0	13	14		0	0	0		0	0	0	1	blac	lcha	qcha	mboq	mxbq	ncha	ocha	rcha	    	    	    	    	    	0	0	0
Jagged	100	0	1	10	0	7			0	1	104	dmg-max	0	1	1		0	0	0		0	0	0	1	blac	mcha	tcha	mboq	mxbq	hcha	wcha	rcha	    	    	    	    	    	0	0	0
Jagged	100	0	1	20	0	15			0	1	104	dmg-max	0	2	2		0	0	0		0	0	0	1	blac	mcha	tcha	mboq	mxbq	hcha	wcha	rcha	    	    	    	    	    	0	0	0
Forked	100	0	1	30	0	22			0	1	104	dmg-max	0	3	3		0	0	0		0	0	0	1	blac	mcha	tcha	mboq	mxbq	hcha	wcha	rcha	    	    	    	    	    	0	0	0
Forked	100	0	1	40	0	32			0	1	104	dmg-max	0	4	5		0	0	0		0	0	0	1	blac	mcha	tcha	mboq	mxbq	hcha	wcha	rcha	    	    	    	    	    	0	0	0
Serrated	100	0	0	50	0	42			0	1	104	dmg-max	0	6	7		0	0	0		0	0	0	1	blac	mcha	tcha	mboq	mxbq	hcha	wcha	rcha	    	    	    	    	    	0	0	0
Jagged	100	0	1	23	0	17			0	1	104	dmg-max	0	1	1		0	0	0		0	0	0	1	blac	scha	tcha	mboq	mxbq	hcha	wcha	rcha	    	    	    	    	    	0	0	0
Forked	100	0	1	38	0	30			0	1	104	dmg-max	0	2	2		0	0	0		0	0	0	1	blac	scha	tcha	mboq	mxbq	hcha	wcha	rcha	    	    	    	    	    	0	0	0
Serrated	100	0	0	53	0	45			0	1	104	dmg-max	0	3	3		0	0	0		0	0	0	1	blac	scha	tcha	mboq	mxbq	hcha	wcha	rcha	    	    	    	    	    	0	0	0
Carbuncle	100	1	1	12	0	9			0	1	104	dmg-max	0	1	5		0	0	0		0	0	0	1	dred	jewl	mboq	mxbq	ncha	ocha	wcha	rcha	    	    	    	    	    	0	0	0
Carmine	100	1	1	35	0	27			0	1	104	dmg-max	0	6	9		0	0	0		0	0	0	1	dred	jewl	mboq	mxbq	ncha	ocha	wcha	rcha	    	    	    	    	    	0	0	0
Vermillion	100	1	0	58	0	50			0	1	104	dmg-max	0	11	15		0	0	0		0	0	0	1	dred	jewl	mboq	mxbq	ncha	ocha	wcha	rcha	    	    	    	    	    	0	0	0
Jagged	1	1	1	1	0	1			0	1	105	dmg%	0	10	20		0	0	0		0	0	0			weap	circ	    	    	    	    	    	staf	wand	orb 	    	    	0	0	0
Deadly	1	1	1	5	0	3			0	1	105	dmg%	0	21	30		0	0	0		0	0	0			weap	circ	    	    	    	    	    	staf	wand	orb 	    	    	0	0	0
Vicious	1	1	1	8	0	6			0	1	105	dmg%	0	31	40		0	0	0		0	0	0			weap	    	    	    	    	    	    	staf	wand	orb 	    	    	0	0	0
Brutal	1	1	1	14	0	10			0	1	105	dmg%	0	41	50		0	0	0		0	0	0			weap	    	    	    	    	    	    	staf	wand	orb 	    	    	0	0	0
Massive	1	1	1	20	0	15			0	1	105	dmg%	0	51	65		0	0	0		0	0	0	1	dgld	weap	    	    	    	    	    	    	staf	wand	orb 	    	    	0	0	0
Savage	1	1	1	26	0	19			0	1	105	dmg%	0	66	80		0	0	0		0	0	0	1	dgld	weap	    	    	    	    	    	    	staf	wand	orb 	    	    	0	0	0
Merciless	1	1	1	32	0	24			0	1	105	dmg%	0	81	100		0	0	0		0	0	0	1	dgld	weap	    	    	    	    	    	    	staf	wand	orb 	    	    	0	0	0
Ferocious	100	1	0	41	0	33			0	1	105	dmg%	0	101	200		0	0	0		0	0	0	1	blac	weap	    	    	    	    	    	    	staf	wand	orb 	    	    	0	0	0
Cruel	100	1	0	51	0	43			0	1	105	dmg%	0	201	300		0	0	0		0	0	0	1	blac	weap	    	    	    	    	    	    	staf	wand	orb 	    	    	0	0	0
