Name	version	spawnable	rare	level	maxlevel	levelreq	classspecific	class	classlevelreq	frequency	group	mod1code	mod1param	mod1min	mod1max	mod2code	mod2param	mod2min	mod2max	mod3code	mod3param	mod3min	mod3max	transform	transformcolor	itype1	itype2	itype3	itype4	itype5	itype6	itype7	etype1	etype2	etype3	divide	multiply	add
of Health	1	1	1	7	0	5			0	1	1	red-dmg	0	1	1		0	0	0		0	0	0			tors	shld	ring	amul	circ	    	    	    	    	    	0	0	0
of Protection	1	1	1	18	0	13			0	1	1	red-dmg	0	2	2		0	0	0		0	0	0			ring	amul	circ	    	    	    	    	    	    	    	0	0	0
of Absorption	1	1	1	26	0	19			0	1	1	red-dmg	0	3	3		0	0	0		0	0	0			amul	circ	    	    	    	    	    	    	    	    	0	0	0
of Life	1	1	1	35	0	26			0	1	1	red-dmg	0	4	4		0	0	0		0	0	0	1	dblu	amul	circ	    	    	    	    	    	    	    	    	0	0	0
of Life Everlasting	100	1	0	45	0	37			0	1	1	red-dmg	0	10	25		0	0	0		0	0	0			amul	circ	    	    	    	    	    	    	    	    	0	0	0
of Protection	1	1	1	24	0	18			0	1	1	red-dmg	0	2	2		0	0	0		0	0	0			tors	shld	circ	    	    	    	    	    	    	    	0	0	0
of Absorption	1	1	1	32	0	24			0	1	1	red-dmg	0	3	3		0	0	0		0	0	0			tors	shld	circ	    	    	    	    	    	    	    	0	0	0
of Life	1	1	1	41	0	33			0	1	1	red-dmg	0	4	7		0	0	0		0	0	0			tors	shld	circ	    	    	    	    	    	    	    	0	0	0
of Anima	100	1	0	51	0	43			0	1	1	red-dmg	0	8	15		0	0	0		0	0	0			tors	shld	circ	    	    	    	    	    	    	    	0	0	0
of Warding	1	1	1	7	0	5			0	1	2	red-mag	0	1	1		0	0	0		0	0	0			tors	shld	ring	amul	orb 	circ	    	    	    	    	0	0	0
of the Sentinel	1	1	1	18	0	12			0	1	2	red-mag	0	2	2		0	0	0		0	0	0			ring	amul	orb 	circ	    	    	    	    	    	    	0	0	0
of Guarding	1	1	1	26	0	19			0	1	2	red-mag	0	3	3		0	0	0		0	0	0			amul	orb 	circ	    	    	    	    	    	    	    	0	0	0
of Negation	100	1	0	42	0	35			0	1	2	red-mag	0	4	6		0	0	0		0	0	0			amul	orb 	circ	    	    	    	    	    	    	    	0	0	0
of the Sentinel	1	1	1	24	0	18			0	1	2	red-mag	0	2	2		0	0	0		0	0	0			tors	shld	circ	    	    	    	    	    	    	    	0	0	0
of Guarding	1	1	1	32	0	24			0	1	2	red-mag	0	3	3		0	0	0		0	0	0			tors	shld	circ	    	    	    	    	    	    	    	0	0	0
of Negation	100	1	1	41	0	33			0	1	2	red-mag	0	4	6		0	0	0		0	0	0			tors	shld	circ	    	    	    	    	    	    	    	0	0	0
of Coolness	100	0	1	11	0	8			0	1	3	abs-fire	0	2	2		0	0	0		0	0	0			tors	shld	boot	circ	    	    	    	    	    	    	0	0	0
of Incombustibility	100	0	1	19	0	14			0	1	3	abs-fire	0	3	3		0	0	0		0	0	0			tors	shld	boot	circ	    	    	    	    	    	    	0	0	0
of Amianthus	100	0	1	28	0	21			0	1	3	abs-fire	0	4	5		0	0	0		0	0	0			tors	shld	boot	circ	    	    	    	    	    	    	0	0	0
of Fire Quenching	100	0	1	38	0	30			0	1	3	abs-fire	0	6	8		0	0	0		0	0	0			tors	shld	boot	circ	    	    	    	    	    	    	0	0	0
of Coolness	100	0	1	13	0	9			0	1	3	abs-fire	0	2	2		0	0	0		0	0	0			ring	amul	orb 	circ	    	    	    	    	    	    	0	0	0
of Incombustibility	100	0	1	22	0	16			0	1	3	abs-fire	0	3	3		0	0	0		0	0	0			amul	orb 	circ	    	    	    	    	    	    	    	0	0	0
of Amianthus	100	0	1	33	0	25			0	1	3	abs-fire	0	4	5		0	0	0		0	0	0			amul	orb 	circ	    	    	    	    	    	    	    	0	0	0
of Fire Quenching	100	0	1	46	0	38			0	1	3	abs-fire	0	6	8		0	0	0		0	0	0			amul	orb 	circ	    	    	    	    	    	    	    	0	0	0
of Faith	100	0	1	23	0	17			0	1	3	abs-fire	0	1	2		0	0	0		0	0	0			jewl	ncha	ocha	wcha	kcha	    	    	    	    	    	0	0	0
of Resistance	100	0	1	11	0	8			0	1	3	abs-ltng	0	2	2		0	0	0		0	0	0			tors	shld	boot	circ	    	    	    	    	    	    	0	0	0
of Insulation	100	0	1	19	0	14			0	1	3	abs-ltng	0	3	3		0	0	0		0	0	0			tors	shld	boot	circ	    	    	    	    	    	    	0	0	0
of Grounding	100	0	1	28	0	21			0	1	3	abs-ltng	0	4	5		0	0	0		0	0	0			tors	shld	boot	circ	    	    	    	    	    	    	0	0	0
of the Dynamo	100	0	1	38	0	30			0	1	3	abs-ltng	0	6	8		0	0	0		0	0	0			tors	shld	boot	circ	    	    	    	    	    	    	0	0	0
of Resistance	100	0	1	13	0	9			0	1	3	abs-ltng	0	2	2		0	0	0		0	0	0			ring	amul	orb 	circ	    	    	    	    	    	    	0	0	0
of Insulation	100	0	1	22	0	16			0	1	3	abs-ltng	0	3	3		0	0	0		0	0	0			amul	orb 	circ	    	    	    	    	    	    	    	0	0	0
of Grounding	100	0	1	33	0	25			0	1	3	abs-ltng	0	4	5		0	0	0		0	0	0			amul	orb 	circ	    	    	    	    	    	    	    	0	0	0
of the Dynamo	100	0	1	46	0	38			0	1	3	abs-ltng	0	6	8		0	0	0		0	0	0			amul	orb 	circ	    	    	    	    	    	    	    	0	0	0
of Stoicism	100	0	1	22	0	16			0	1	3	abs-ltng	0	1	2		0	0	0		0	0	0			jewl	ncha	ocha	wcha	    	    	    	    	    	    	0	0	0
of Warming	100	0	1	11	0	8			0	1	3	abs-cold	0	2	2		0	0	0		0	0	0			tors	shld	boot	circ	    	    	    	    	    	    	0	0	0
of Thawing	100	0	1	19	0	14			0	1	3	abs-cold	0	3	3		0	0	0		0	0	0			tors	shld	boot	circ	    	    	    	    	    	    	0	0	0
of the Dunes	100	0	1	28	0	21			0	1	3	abs-cold	0	4	5		0	0	0		0	0	0			tors	shld	boot	circ	    	    	    	    	    	    	0	0	0
of the Sirocco	100	0	1	38	0	30			0	1	3	abs-cold	0	6	8		0	0	0		0	0	0			tors	shld	boot	circ	    	    	    	    	    	    	0	0	0
of Warming	100	0	1	13	0	9			0	1	3	abs-cold	0	2	2		0	0	0		0	0	0			ring	amul	orb 	circ	    	    	    	    	    	    	0	0	0
of Thawing	100	0	1	22	0	16			0	1	3	abs-cold	0	3	3		0	0	0		0	0	0			amul	orb 	circ	    	    	    	    	    	    	    	0	0	0
of the Dunes	100	0	1	33	0	25			0	1	3	abs-cold	0	4	5		0	0	0		0	0	0			amul	orb 	circ	    	    	    	    	    	    	    	0	0	0
of the Sirocco	100	0	1	46	0	38			0	1	3	abs-cold	0	6	8		0	0	0		0	0	0			amul	orb 	circ	    	    	    	    	    	    	    	0	0	0
of Desire	100	0	1	23	0	17			0	1	3	abs-cold	0	1	2		0	0	0		0	0	0			jewl	ncha	ocha	wcha	    	    	    	    	    	    	0	0	0
of Piercing	1	1	1	25	0	18			0	1	4	ignore-ac	0	1	1		0	0	0		0	0	0			rod 	knif	h2h 	mboq	mxbq	    	    	    	    	    	0	0	0
of Bashing	100	0	1	16	0	12			0	1	5	dmg-ac	0	-25	-40		0	0	0		0	0	0			blun	mboq	mxbq	    	    	    	    	wand	staf	orb 	0	0	0
of Puncturing	100	0	1	6	0	4			0	1	5	dmg-ac	0	-10	-20		0	0	0		0	0	0			spea	knif	h2h 	mboq	mxbq	    	    	    	    	    	0	0	0
of Thorns	1	1	1	1	14	1			0	1	6	thorns	0	3	10		0	0	0		0	0	0			tors	belt	shld	boot	    	    	    	    	    	    	0	0	0
of Thorns	1	1	1	14	0	10			0	1	6	thorns	0	10	30		0	0	0		0	0	0			tors	shld	belt	circ	    	    	    	    	    	    	0	0	0
of Spikes	1	1	1	21	0	15			0	1	6	thorns	0	40	60		0	0	0		0	0	0	1	oran	tors	shld	belt	circ	    	    	    	    	    	    	0	0	0
