name	*name	szFlavorText	compactsave	version	level	levelreq	rarity	spawnable	speed	nodurability	cost	gamble cost	code	alternategfx	namestr	component	invwidth	invheight	hasinv	gemsockets	gemapplytype	flippyfile	invfile	uniqueinvfile	special	Transmogrify	TMogType	TMogMin	TMogMax	useable	throwable	type	type2	dropsound	dropsfxframe	usesound	unique	transparent	transtbl	lightradius	belt	autobelt	stackable	minstack	maxstack	spawnstack	quest	questdiffcheck	missiletype	spellicon	pSpell	state	cstate1	cstate2	len	stat1	calc1	stat2	calc2	stat3	calc3	spelldesc	spelldescstr	spelldesccalc	durwarning	qntwarning	gemoffset	BetterGem	bitfield1	AkaraMin	AkaraMax	AkaraMagicMin	AkaraMagicMax	AkaraMagicLvl	GheedMin	GheedMax	GheedMagicMin	GheedMagicMax	GheedMagicLvl	CharsiMin	CharsiMax	CharsiMagicMin	CharsiMagicMax	CharsiMagicLvl	FaraMin	FaraMax	FaraMagicMin	FaraMagicMax	FaraMagicLvl	LysanderMin	LysanderMax	LysanderMagicMin	LysanderMagicMax	LysanderMagicLvl	DrognanMin	DrognanMax	DrognanMagicMin	DrognanMagicMax	DrognanMagicLvl	HraltiMin	HraltiMax	HraltiMagicMin	HraltiMagicMax	HraltiMagicLvl	AlkorMin	AlkorMax	AlkorMagicMin	AlkorMagicMax	AlkorMagicLvl	OrmusMin	OrmusMax	OrmusMagicMin	OrmusMagicMax	OrmusMagicLvl	ElzixMin	ElzixMax	ElzixMagicMin	ElzixMagicMax	ElzixMagicLvl	AshearaMin	AshearaMax	AshearaMagicMin	AshearaMagicMax	AshearaMagicLvl	CainMin	CainMax	CainMagicMin	CainMagicMax	CainMagicLvl	HalbuMin	HalbuMax	HalbuMagicMin	HalbuMagicMax	HalbuMagicLvl	JamellaMin	JamellaMax	JamellaMagicMin	JamellaMagicMax	JamellaMagicLvl	MalahMin	MalahMax	MalahMagicMin	MalahMagicMax	MalahMagicLvl	LarzukMin	LarzukMax	LarzukMagicMin	LarzukMagicMax	LarzukMagicLvl	DrehyaMin	DrehyaMax	DrehyaMagicMin	DrehyaMagicMax	DrehyaMagicLvl	Source Art	Game Art	Transform	InvTrans	SkipName	NightmareUpgrade	HellUpgrade	PermStoreItem	multibuy	Nameable	*eol
elixir			1	0	21	0	4	1	0	1	50000	0	elx	elx	elx	16	1	1	0	0	0	flppot	invpot			0	xxx	0	0	0		elix		item_potion	14	item_potion_drink	0	0	5	1	0	0	0	0	0	0	0		0	-1	8					experience	5								0	0	0	non	0	1	1	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	1	0	0	255	0	0	0	0	255	0	0	0	0	255	1	1	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	1	0	0	255	1	1	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	xxx	xxx	1		0	0
Healing Potion			1	0	0	0	1	0	0	1	60	0	hpo	hpo	hpo	16	1	1	0	0	0	flprps	invrps			0	xxx	0	0	1		hpot		item_potion	14	item_potion_drink	0	0	5	0	1	1	0	0	0	0	0		0	-1															0	0	0	non	0	1	1	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	1	0	0	255	0	0	0	0	255	0	0	0	0	255	1	1	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	1	0	0	255	0	0	0	0	255	1	1	0	0	255	1	1	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	xxx	xxx	1	1	0	0
Mana Potion			1	0	0	0	1	0	0	1	60	0	mpo	mpo	mpo	16	1	1	0	0	0	flpbps	invbps			0	xxx	0	0	1		mpot		item_potion	14	item_potion_drink	0	0	5	0	1	0	0	0	0	0	0		0	-1															0	0	0	non	0	1	1	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	1	0	0	255	0	0	0	0	255	0	0	0	0	255	1	1	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	1	0	0	255	0	0	0	0	255	1	1	0	0	255	1	1	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	xxx	xxx	1	1	0	0
Full Healing Potion			1	0	0	0	2	0	0	1	300	0	hpf	hpo	hpf	16	1	1	0	0	0	flprpl	invrpl			0	xxx	0	0	1		hpot		item_potion	14	item_potion_drink	0	0	5	0	1	1	0	0	0	0	0		0	-1															0	0	0	non	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	xxx	xxx	0	1	0	0
Full Mana Potion			1	0	0	0	2	0	0	1	300	0	mpf	mpo	mpf	16	1	1	0	0	0	flpbpl	invbpl			0	xxx	0	0	1		mpot		item_potion	14	item_potion_drink	0	0	5	0	1	0	0	0	0	0	0		0	-1															0	0	0	non	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	xxx	xxx	0	1	0	0
Stamina Potion			1	0	0	0	1	1	0	1	1000	0	vps	vps	vps	16	1	1	0	0	0	flpwps	invwps			0	xxx	0	0	1		spot		item_potion	14	item_potion_drink	0	0	5	0	1	0	0	0	0	0	0		0	-1	9	staminapot			750	staminarecoverybonus	5000								0	0	0	non	0	1	1	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	1	0	0	255	0	0	0	0	255	0	0	0	0	255	3	5	0	0	255	1	1	0	0	255	0	0	0	0	255	0	0	0	0	255	2	3	0	0	255	0	0	0	0	255	1	1	0	0	255	1	1	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	xxx	xxx	1	1	0	0
Antidote Potion			1	0	0	0	1	1	0	1	1600	0	yps	yps	yps	16	1	1	0	0	0	flpnps	invnps			0	xxx	0	0	1		apot		item_potion	14	item_potion_drink	0	0	5	0	1	0	0	0	0	0	0		0	-1	6	antidote	poison		750	poisonresist	50	maxpoisonresist	10						0	0	0	non	0	1	1	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	1	0	0	255	0	0	0	0	255	0	0	0	0	255	8	11	0	0	255	1	1	0	0	255	0	0	0	0	255	0	0	0	0	255	8	11	0	0	255	0	0	0	0	255	1	1	0	0	255	1	1	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	xxx	xxx	1	1	0	0
Rejuv Potion			1	0	0	0	2	1	0	1	10000	0	rvs	yps	rvs	16	1	1	0	0	0	flpvps	invvps			0	xxx	0	0	1		rpot		item_potion	14	item_potion_drink	0	0	5	0	1	1	0	0	0	0	0		0	-1	5					hitpoints	35	mana	35			1	ItemStatsrejuv1		0	0	0	non	0	1	1	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	1	0	0	255	0	0	0	0	255	0	0	0	0	255	1	1	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	1	0	0	255	1	1	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	xxx	xxx	1	1	0	0
Full Rejuv Potion			1	0	0	0	2	1	0	1	30000	0	rvl	ypl	rvl	16	1	1	0	0	0	flpvpl	invvpl			0	xxx	0	0	1		rpot		item_potion	14	item_potion_drink	0	0	5	0	1	1	0	0	0	0	0		0	-1	5					hitpoints	100	mana	100			1	ItemStatsrejuv2		0	0	0	non	0	1	1	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	1	0	0	255	0	0	0	0	255	0	0	0	0	255	1	1	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	1	0	0	255	1	1	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	xxx	xxx	1	1	0	0
Thawing Potion			1	0	0	0	2	1	0	1	1000	0	wms	yps	wms	16	1	1	0	0	0	flpyps	invyps			0	xxx	0	0	1		wpot		item_potion	14	item_potion_drink	0	0	5	0	1	0	0	0	0	0	0		0	-1	6	thawing	freeze	cold	750	coldresist	50	maxcoldresist	10						0	0	0	non	0	1	1	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	1	0	0	255	0	0	0	0	255	0	0	0	0	255	6	9	0	0	255	1	1	0	0	255	0	0	0	0	255	0	0	0	0	255	6	9	0	0	255	0	0	0	0	255	1	1	0	0	255	1	1	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	xxx	xxx	1	1	0	0
