monster	oninit	level	item1	loc1	mod1	item2	loc2	mod2	item3	loc3	mod3	eol
valkyrie		27	ci2	head	6							0
valkyrie		25	amu	neck	6							0
valkyrie		23	uhc	belt	6							0
valkyrie		21	uhb	feet	6							0
valkyrie		19	utg	glov	6							0
valkyrie		17	7p7	rarm	6							0
valkyrie		16	uar	tors	6							0
valkyrie		14	ci0	head	4							0
valkyrie		13	amu	neck	4							0
valkyrie		12	zhb	belt	4							0
valkyrie		11	xhb	feet	4							0
valkyrie		10	xhg	glov	4							0
valkyrie		8	9p9	rarm	6							0
valkyrie		7	xul	tors	6							0
valkyrie		5	hbl	belt	4							0
valkyrie		4	hbt	feet	4							0
valkyrie		2	hgl	glov	4							0
valkyrie		0	spr	rarm	6							0
valkyrie		0	ful	tors	6							0
shadowwarrior		0	ces	rarm	4							0
shadowwarrior		0	btl	larm	4							0
shadowwarrior		0		tors	4							0
shadowwarrior		0		head	4							0
shadowmaster		17	amu	neck	6							0
shadowmaster		13	rin	lrin	6							0
shadowmaster		11	7ar	rarm	6	7xf	rarm	6	7qr	rarm	6	0
shadowmaster		11	7cs	larm	6	7tw	larm	6	7qr	larm	6	0
shadowmaster		11	ulg	glov	6	umg	glov	6	uhg	glov	6	0
shadowmaster		11	rin	rrin	6							0
shadowmaster		11		tors	6							0
shadowmaster		11		head	6							0
shadowmaster		9	rin	rrin	4							0
shadowmaster		6	7ar	rarm	4	7xf	rarm	4	7qr	rarm	4	0
shadowmaster		6	7cs	larm	4	7tw	larm	4	7qr	larm	4	0
shadowmaster		6	ulg	glov	4	umg	glov	4	uhg	glov	4	0
shadowmaster		6		tors	4							0
shadowmaster		6		head	4							0
shadowmaster		5	ulg	glov	3	umg	glov	3	uhg	glov	3	0
shadowmaster		0	7ar	rarm	3	7xf	rarm	3	7qr	rarm	3	0
shadowmaster		0	7cs	larm	3	7tw	larm	3	7qr	larm	3	0
shadowmaster		0		tors	3							0
shadowmaster		0		head	3							0
mephisto	1	0	mon4	neck	7							0
diablo	1	0	mon4	neck	7							0
baalcrab	1	0	mon4	neck	7							0
skeleton1	1	0	mon4	neck	7							0
skeleton2	1	0	mon4	neck	7							0
skeleton3	1	0	mon4	neck	7							0
skeleton4	1	0	mon4	neck	7							0
skeleton5	1	0	mon4	neck	7							0
zombie1	1	0	mon4	neck	7							0
zombie2	1	0	mon4	neck	7							0
zombie3	1	0	mon4	neck	7							0
zombie4	1	0	mon4	neck	7							0
zombie5	1	0	mon4	neck	7							0
bighead1	1	0	mon4	neck	7							0
bighead2	1	0	mon4	neck	7							0
bighead3	1	0	mon4	neck	7							0
bighead4	1	0	mon4	neck	7							0
bighead5	1	0	mon4	neck	7							0
foulcrow1	1	0	mon4	neck	7							0
foulcrow2	1	0	mon4	neck	7							0
foulcrow3	1	0	mon4	neck	7							0
foulcrow4	1	0	mon4	neck	7							0
fallen1	1	0	mon4	neck	7							0
fallen2	1	0	mon4	neck	7							0
fallen3	1	0	mon4	neck	7							0
fallen4	1	0	mon4	neck	7							0
fallen5	1	0	mon4	neck	7							0
kobold	1	0	mon4	neck	7							0
brute3	1	0	mon4	neck	7							0
monolith1	1	0	mon4	neck	7							0
monolith2	1	0	mon4	neck	7							0
magog	1	0	mon4	neck	7							0
sandraider1	1	0	mon4	neck	7							0
sandraider2	1	0	mon4	neck	7							0
sandraider3	1	0	mon4	neck	7							0
sandraider4	1	0	mon4	neck	7							0
umberhulk	1	0	mon4	neck	7							0
golem1	1	0	mon4	neck	7							0
golem2	1	0	mon4	neck	7							0
golem3	1	0	mon4	neck	7							0
golem4	1	0	mon4	neck	7							0
wraith1	1	0	mon4	neck	7							0
wraith2	1	0	mon4	neck	7							0
wraith3	1	0	mon4	neck	7							0
wraith4	1	0	mon4	neck	7							0
wraith5	1	0	mon4	neck	7							0
corruptrogue1	1	0	mon4	neck	7							0
corruptrogue2	1	0	mon4	neck	7							0
corruptrogue3	1	0	mon4	neck	7							0
corruptrogue4	1	0	mon4	neck	7							0
corruptrogue5	1	0	mon4	neck	7							0
immortal	1	0	mon4	neck	7							0
venomklaw	1	0	mon4	neck	7							0
baboon3	1	0	mon4	neck	7							0
baboon4	1	0	mon4	neck	7							0
baboon5	1	0	mon4	neck	7							0
ratman	1	0	mon4	neck	7							0
goatman2	1	0	mon4	neck	7							0
goatman3	1	0	mon4	neck	7							0
goatman4	1	0	mon4	neck	7							0
goatman5	1	0	mon4	neck	7							0
fallenshaman1	1	0	mon4	neck	7							0
fallenshaman2	1	0	mon4	neck	7							0
fallenshaman3	1	0	mon4	neck	7							0
fallenshaman4	1	0	mon4	neck	7							0
fallenshaman5	1	0	mon4	neck	7							0
quillrat1	1	0	mon4	neck	7							0
quillrat2	1	0	mon4	neck	7							0
quillrat3	1	0	mon4	neck	7							0
quillrat4	1	0	mon4	neck	7							0
quillrat5	1	0	mon4	neck	7							0
sandmaggot1	1	0	mon4	neck	7							0
sandmaggot2	1	0	mon4	neck	7							0
sandmaggot3	1	0	mon4	neck	7							0
sandmaggot4	1	0	mon4	neck	7							0
sandmaggot5	1	0	mon4	neck	7							0
clawviper1	1	0	mon4	neck	7							0
clawviper2	1	0	mon4	neck	7							0
