Level	AC	AC(N)	AC(H)	L-AC	L-AC(N)	L-AC(H)	TH	TH(N)	TH(H)	L-TH	L-TH(N)	L-TH(H)	HP	HP(N)	HP(H)	L-HP	L-HP(N)	L-HP(H)	DMG	DM(N)	DM(H)	L-DM	L-DM(N)	L-DM(H)	XP	XP(N)	XP(H)	L-XP	L-XP(N)	L-XP(H)
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	10	30	120	10	30	120	10	30	120	10	30	120	10	20	60	10	20	60	3	6	18	3	6	18	6	12	36	6	12	36
2	20	60	240	20	60	240	20	60	240	20	60	240	20	40	120	20	40	120	4	8	24	4	8	24	8	16	48	8	16	48
3	30	90	360	30	90	360	30	90	360	30	90	360	30	60	180	30	60	180	5	10	30	5	10	30	10	20	60	10	20	60
4	40	120	480	40	120	480	40	120	480	40	120	480	40	80	240	40	80	240	6	12	36	6	12	36	12	24	72	12	24	72
5	50	150	600	50	150	600	50	150	600	50	150	600	50	100	300	50	100	300	7	14	42	7	14	42	14	28	84	14	28	84
6	60	180	720	60	180	720	60	180	720	60	180	720	60	120	360	60	120	360	8	16	48	8	16	48	16	32	96	16	32	96
7	70	210	840	70	210	840	70	210	840	70	210	840	70	140	420	70	140	420	9	18	54	9	18	54	18	36	108	18	36	108
8	80	240	960	80	240	960	80	240	960	80	240	960	80	160	480	80	160	480	10	20	60	10	20	60	20	40	120	20	40	120
9	90	270	1080	90	270	1080	90	270	1080	90	270	1080	90	180	540	90	180	540	11	22	66	11	22	66	23	46	138	23	46	138
10	100	300	1200	100	300	1200	100	300	1200	100	300	1200	100	200	600	100	200	600	12	24	72	12	24	72	26	52	156	26	52	156
11	121	363	1452	121	363	1452	121	363	1452	121	363	1452	121	242	726	121	242	726	14	28	84	14	28	84	29	58	174	29	58	174
12	144	432	1728	144	432	1728	144	432	1728	144	432	1728	144	288	864	144	288	864	16	32	96	16	32	96	32	64	192	32	64	192
13	169	507	2028	169	507	2028	169	507	2028	169	507	2028	169	338	1014	169	338	1014	19	38	114	19	38	114	35	70	210	35	70	210
14	196	588	2352	196	588	2352	196	588	2352	196	588	2352	196	392	1176	196	392	1176	22	44	132	22	44	132	38	76	228	38	76	228
15	225	675	2700	225	675	2700	225	675	2700	225	675	2700	225	450	1350	225	450	1350	25	50	150	25	50	150	41	82	246	41	82	246
16	256	768	3072	256	768	3072	256	768	3072	256	768	3072	256	512	1536	256	512	1536	28	56	168	28	56	168	44	88	264	44	88	264
17	289	867	3468	289	867	3468	289	867	3468	289	867	3468	289	578	1734	289	578	1734	31	62	186	31	62	186	47	94	282	47	94	282
18	324	972	3888	324	972	3888	324	972	3888	324	972	3888	324	648	1944	324	648	1944	34	68	204	34	68	204	50	100	300	50	100	300
19	361	1083	4332	361	1083	4332	361	1083	4332	361	1083	4332	361	722	2166	361	722	2166	38	76	228	38	76	228	54	108	324	54	108	324
20	400	1200	4800	400	1200	4800	400	1200	4800	400	1200	4800	400	800	2400	400	800	2400	42	84	252	42	84	252	58	116	348	58	116	348
21	441	1323	5292	441	1323	5292	441	1323	5292	441	1323	5292	441	882	2646	441	882	2646	46	92	276	46	92	276	62	124	372	62	124	372
22	484	1452	5808	484	1452	5808	484	1452	5808	484	1452	5808	484	968	2904	484	968	2904	50	100	300	50	100	300	66	132	396	66	132	396
23	529	1587	6348	529	1587	6348	529	1587	6348	529	1587	6348	529	1058	3174	529	1058	3174	55	110	330	55	110	330	70	140	420	70	140	420
24	576	1728	6912	576	1728	6912	576	1728	6912	576	1728	6912	576	1152	3456	576	1152	3456	60	120	360	60	120	360	75	150	450	75	150	450
25	625	1875	7500	625	1875	7500	625	1875	7500	625	1875	7500	625	1250	3750	625	1250	3750	65	130	390	65	130	390	80	160	480	80	160	480
26	676	2028	8112	676	2028	8112	676	2028	8112	676	2028	8112	676	1352	4056	676	1352	4056	70	140	420	70	140	420	85	170	510	85	170	510
27	729	2187	8748	729	2187	8748	729	2187	8748	729	2187	8748	729	1458	4374	729	1458	4374	75	150	450	75	150	450	90	180	540	90	180	540
28	784	2352	9408	784	2352	9408	784	2352	9408	784	2352	9408	784	1568	4704	784	1568	4704	80	160	480	80	160	480	95	190	570	95	190	570
29	841	2523	10092	841	2523	10092	841	2523	10092	841	2523	10092	841	1682	5046	841	1682	5046	86	172	516	86	172	516	100	200	600	100	200	600
30	900	2700	10800	900	2700	10800	900	2700	10800	900	2700	10800	900	1800	5400	900	1800	5400	92	184	552	92	184	552	106	212	636	106	212	636
31	961	2883	11532	961	2883	11532	961	2883	11532	961	2883	11532	961	1922	5766	961	1922	5766	98	196	588	98	196	588	112	224	672	112	224	672
