Id	hcIdx	BaseId	NextInClass	TransLvl	NameStr	MonStatsEx	MonProp	MonType	AI	DescStr	Code	enabled	rangedtype	placespawn	spawn	spawnx	spawny	spawnmode	minion1	minion2	SetBoss	BossXfer	PartyMin	PartyMax	MinGrp	MaxGrp	sparsePopulate	Velocity	Run	Rarity	Level	Level(N)	Level(H)	MonSound	UMonSound	threat	aidel	aidel(N)	aidel(H)	aidist	aidist(N)	aidist(H)	aip1	aip1(N)	aip1(H)	aip2	aip2(N)	aip2(H)	aip3	aip3(N)	aip3(H)	aip4	aip4(N)	aip4(H)	aip5	aip5(N)	aip5(H)	aip6	aip6(N)	aip6(H)	aip7	aip7(N)	aip7(H)	aip8	aip8(N)	aip8(H)	MissA1	MissA2	MissS1	MissS2	MissS3	MissS4	MissC	MissSQ		Align	isSpawn	isMelee	npc	interact	inventory	inTown	lUndead	hUndead	demon	flying	opendoors	boss	primeevil	killable	switchai	noAura	nomultishot	neverCount	petIgnore	deathDmg	genericSpawn	zoo	SendSkills	Skill1	Sk1mode	Sk1lvl	Skill2	Sk2mode	Sk2lvl	Skill3	Sk3mode	Sk3lvl	Skill4	Sk4mode	Sk4lvl	Skill5	Sk5mode	Sk5lvl	Skill6	Sk6mode	Sk6lvl	Skill7	Sk7mode	Sk7lvl	Skill8	Sk8mode	Sk8lvl	Drain	Drain(N)	Drain(H)	coldeffect	coldeffect(N)	coldeffect(H)	ResDm	ResMa	ResFi	ResLi	ResCo	ResPo	ResDm(N)	ResMa(N)	ResFi(N)	ResLi(N)	ResCo(N)	ResPo(N)	ResDm(H)	ResMa(H)	ResFi(H)	ResLi(H)	ResCo(H)	ResPo(H)	DamageRegen	SkillDamage	noRatio	NoShldBlock	ToBlock	ToBlock(N)	ToBlock(H)	Crit	minHP	maxHP	AC	Exp	A1MinD	A1MaxD	A1TH	A2MinD	A2MaxD	A2TH	S1MinD	S1MaxD	S1TH	MinHP(N)	MaxHP(N)	AC(N)	Exp(N)	A1MinD(N)	A1MaxD(N)	A1TH(N)	A2MinD(N)	A2MaxD(N)	A2TH(N)	S1MinD(N)	S1MaxD(N)	S1TH(N)	MinHP(H)	MaxHP(H)	AC(H)	Exp(H)	A1MinD(H)	A1MaxD(H)	A1TH(H)	A2MinD(H)	A2MaxD(H)	A2TH(H)	S1MinD(H)	S1MaxD(H)	S1TH(H)	El1Mode	El1Type	El1Pct	El1MinD	El1MaxD	El1Dur	El1Pct(N)	El1MinD(N)	El1MaxD(N)	El1Dur(N)	El1Pct(H)	El1MinD(H)	El1MaxD(H)	El1Dur(H)	El2Mode	El2Type	El2Pct	El2MinD	El2MaxD	El2Dur	El2Pct(N)	El2MinD(N)	El2MaxD(N)	El2Dur(N)	El2Pct(H)	El2MinD(H)	El2MaxD(H)	El2Dur(H)	El3Mode	El3Type	El3Pct	El3MinD	El3MaxD	El3Dur	El3Pct(N)	El3MinD(N)	El3MaxD(N)	El3Dur(N)	El3Pct(H)	El3MinD(H)	El3MaxD(H)	El3Dur(H)	TreasureClass1	TreasureClass2	TreasureClass3	TreasureClass4	TreasureClass1(N)	TreasureClass2(N)	TreasureClass3(N)	TreasureClass4(N)	TreasureClass1(H)	TreasureClass2(H)	TreasureClass3(H)	TreasureClass4(H)	TCQuestId	TCQuestCP	SplEndDeath	SplGetModeChart	SplEndGeneric	SplClientEnd	*eol
skeleton1	0	skeleton1		0	Skeleton	skeleton1		skeleton	Skeleton		SK  	1													3	7	0	4	6	1	9	9	9	skeleton	skeleton	10	15	14	13				60	65	70	10	9	8	75	80	85	50	50	50																					0	0	1	1	0	0	1	0	1	0	0	0	1	0		1	1			0	0	0	0	1		SkeletonRaise	seq_skeletonraise	1																									-50	-40	-25	0	0	0	0	0	50	0	0	0	0	0	75	0	0	0	100	0	75	2				10	10	10		55	115	64	34	25	90	71	25	90	71	0	0	0	55	115	64	34	25	90	71	25	90	71	0	0	0	55	115	64	34	25	90	71	25	90	71	0	0	0																																											Act 1 H2H A	Act 1 Champ A	Act 1 Unique A		Act 1 (N) H2H A	Act 1 (N) Champ A	Act 1 (N) Unique A		Act 1 (H) H2H A	Act 1 (H) Champ A	Act 1 (H) Unique A				0	0	0	0	0
skeleton2	1	skeleton2		1	Returned	skeleton2		skeleton	Skeleton		SK  	1													4	9	0	5	7	1	15	15	15	skeleton	skeleton	10	15	14	13				70	75	80	9	8	7	80	85	90	50	50	50																					0	0	1	1	0	0	1	0	1	0	0	0	1	0		1	1			0	0	0	0	1		SkeletonRaise	seq_skeletonraise	1																									-50	-40	-25	0	0	0	0	0	50	0	0	0	0	0	75	0	0	0	0	0	100	2				15	15	15		55	115	70	25	25	90	65	25	90	73	0	0	0	55	115	70	25	25	90	65	25	90	73	0	0	0	55	115	70	25	25	90	65	25	90	73	0	0	0																																											Act 1 H2H B	Act 1 Champ B	Act 1 Unique B		Act 1 (N) H2H B	Act 1 (N) Champ B	Act 1 (N) Unique B		Act 1 (H) H2H B	Act 1 (H) Champ B	Act 1 (H) Unique B				0	0	0	0	0
skeleton3	2	skeleton3		2	BoneWarrior	skeleton3		skeleton	Skeleton		SK  	1													5	10	0	6	9	1	24	24	24	skeleton	skeleton	10	15	14	13				80	85	90	9	8	7	85	90	95	50	50	50																					0	0	1	1	0	0	1	0	1	0	0	0	1	0		1	1			0	0	0	0	1		SkeletonRaise	seq_skeletonraise	1																									-50	-40	-25	5	0	0	0	40	50	0	0	0	0	60	75	0	0	0	0	100	75	2				20	20	20		55	115	73	29	25	90	68	25	90	76	0	0	0	55	115	73	29	25	90	68	25	90	76	0	0	0	55	115	73	29	25	90	68	25	90	76	0	0	0																																											Act 1 H2H B	Act 1 Champ B	Act 1 Unique B		Act 1 (N) H2H B	Act 1 (N) Champ B	Act 1 (N) Unique B		Act 1 (H) H2H B	Act 1 (H) Champ B	Act 1 (H) Unique B				0	0	0	0	0
skeleton4	3	skeleton4		3	BurningDead	skeleton4		skeleton	Skeleton		SK  	1													6	13	0	7	10	1	37	37	37	skeleton	skeleton	10	15	14	13				90	95	95	7	6	5	90	95	99	50	50	50																					0	0	1	1	0	0	1	0	1	0	0	0	1	0		1	1			0	0	0	0	1		SkeletonRaise	seq_skeletonraise	1																									-50	-40	-25	10	5	55	5	5	55	10	5	80	5	5	80	5	5	100	5	5	80	2				25	25	25		55	115	78	31	25	90	72	25	90	82	0	0	0	55	115	78	31	25	90	72	25	90	82	0	0	0	55	115	78	31	25	90	72	25	90	82	0	0	0	A2	fire	100	20	50	0	100	20	50	0	100	20	50	0																													Act 2 H2H A	Act 2 Champ A	Act 2 Unique A		Act 2 (N) H2H A	Act 2 (N) Champ A	Act 2 (N) Unique A		Act 2 (H) H2H A	Act 2 (H) Champ A	Act 2 (H) Unique A				0	0	0	0	0
skeleton5	4	skeleton5		4	Horror	skeleton5		skeleton	Skeleton		SK  	1													7	15	0	8	11	1	50	50	50	skeleton	skeleton	10	15	14	13				99	99	99	5	5	5	95	99	99	50	50	50																					0	0	1	1	0	0	1	0	1	0	0	0	1	0		1	1			0	0	0	0	1		SkeletonRaise	seq_skeletonraise	1																									-50	-40	-25	20	30	10	70	10	60	20	50	10	90	10	85	20	80	10	100	10	85	3				30	30	30		55	115	74	32	25	90	74	25	90	83	0	0	0	55	115	74	32	25	90	74	25	90	83	0	0	0	55	115	74	32	25	90	74	25	90	83	0	0	0	A2	ltng	100	20	50	0	100	20	50	0	100	20	50	0																													Act 2 H2H A	Act 2 Champ A	Act 2 Unique A		Act 2 (N) H2H A	Act 2 (N) Champ A	Act 2 (N) Unique A		Act 2 (H) H2H A	Act 2 (H) Champ A	Act 2 (H) Unique A				0	0	0	0	0
zombie1	5	zombie1		0	Zombie	zombie1		zombie	Zombie		ZM  	1													3	6	0	4	7	1	7	7	7	zombie	zombieunique	10	15	14	13				30	40	50	19	22	25				20	25	30																					0	0	1	1	0	0	1	0	1	0	0	0	0	0		1	1			0	0	0	0	1																										100	75	50	-50	-40	-25	0	0	0	0	0	50	0	0	0	0	0	75	0	0	0	0	100	75	2				3	3	3		65	130	54	39	20	80	54	35	90	63	0	0	0	65	130	54	39	20	80	54	35	90	63	0	0	0	65	130	54	39	20	80	54	35	90	63	0	0	0																																											Act 1 H2H A	Act 1 Champ A	Act 1 Unique A		Act 1 (N) H2H A	Act 1 (N) Champ A	Act 1 (N) Unique A		Act 1 (H) H2H A	Act 1 (H) Champ A	Act 1 (H) Unique A				0	0	0	0	0
zombie2	6	zombie2		1	HungryDead	zombie2		zombie	Zombie		ZM  	1													4	8	0	4	8	1	13	13	13	zombie	zombieunique	10	15	14	13				40	50	60	20	24	27				25	30	35																					0	0	1	1	0	0	1	0	1	0	0	0	0	0		1	1			0	0	0	0	1																										100	75	50	-50	-40	-25	0	0	0	0	0	50	0	0	0	0	0	75	0	0	0	100	0	75	2				4	4	4		65	130	59	24	20	80	70	35	90	65	0	0	0	65	130	59	24	20	80	70	35	90	65	0	0	0	65	130	59	24	20	80	70	35	90	65	0	0	0																																											Act 1 H2H A	Act 1 Champ A	Act 1 Unique A		Act 1 (N) H2H A	Act 1 (N) Champ A	Act 1 (N) Unique A		Act 1 (H) H2H A	Act 1 (H) Champ A	Act 1 (H) Unique A				0	0	0	0	0
zombie3	7	zombie3		2	Ghoul	zombie3		zombie	Zombie		ZM  	1													5	10	0	4	9	1	23	23	23	zombie	zombieunique	10	15	14	13				50	60	70	25	27	30				30	35	40																					0	0	1	1	0	0	1	0	1	0	0	0	0	0		1	1			0	0	0	0	1																										100	75	50	-50	-40	-25	5	0	0	0	0	50	5	0	0	0	0	75	5	0	100	0	0	75	2				13	13	13		65	130	70	40	20	80	65	35	90	74	0	0	0	65	130	70	40	20	80	65	35	90	74	0	0	0	65	130	70	40	20	80	65	35	90	74	0	0	0																																											Act 2 H2H C	Act 2 Champ C	Act 2 Unique C		Act 2 (N) H2H C	Act 2 (N) Champ C	Act 2 (N) Unique C		Act 2 (H) H2H C	Act 2 (H) Champ C	Act 2 (H) Unique C				0	0	0	0	0
zombie4	8	zombie4		3	DrownedCarcass	zombie4		zombie	Zombie		ZM  	1													7	15	0	4	10	1	67	67	67	zombie	zombieunique	10	15	14	13				100	100	100	30	30	30				35	40	45																					0	0	1	1	0	0	1	0	1	0	0	0	0	0		1	1			0	0	0	0	1																										100	75	50	-50	-40	-25	30	10	60	10	10	60	50	10	90	10	10	90	20	10	100	10	10	90	3				22	22	22		65	130	80	73	30	130	77	70	160	88	0	0	0	65	130	80	73	30	130	77	70	160	88	0	0	0	65	130	80	73	30	130	77	70	160	88	0	0	0	A1	cold	100	30	60	0	100	30	60	0	100	30	60	0																													Act 3 H2H A	Act 3 Champ A	Act 3 Unique A		Act 3 (N) H2H A	Act 3 (N) Champ A	Act 3 (N) Unique A		Act 3 (H) H2H A	Act 3 (H) Champ A	Act 3 (H) Unique A				0	0	0	0	0
zombie5	9	zombie5		4	PlagueBearer	zombie5		zombie	Zombie		ZM  	1													6	12	0	5	11	1	41	41	41	zombie	zombieunique	10	15	14	13				60	70	80	30	30	30				40	45	50																					0	0	1	1	0	0	1	0	1	0	0	0	0	0		1	1			0	0	0	0	1																										100	75	50	-25	-15	0	10	55	5	5	5	55	10	80	5	5	5	80	10	100	5	5	5	80	2				17	17	17		65	130	75	56	25	100	70	50	130	80	0	0	0	65	130	75	56	25	100	70	50	130	80	0	0	0	65	130	75	56	25	100	70	50	130	80	0	0	0	A1	pois	50	30	30	400	50	30	30	400	50	30	30	400																													Act 2 H2H B	Act 2 Champ B	Act 2 Unique B		Act 2 (N) H2H B	Act 2 (N) Champ B	Act 2 (N) Unique B		Act 2 (H) H2H B	Act 2 (H) Champ B	Act 2 (H) Unique B				0	0	0	0	0
