npc	buy mult	sell mult	rep mult	questflag A	questbuymult A	questsellmult A	questrepmult A	questflag B	questbuymult B	questsellmult B	questrepmult B	questflag C	questbuymult C	questsellmult C	questrepmult C	max buy	max buy (N)	max buy (H)
gheed	384	1536	512	4	1024	1024	384	0	0	0	0	0	0	0	0	100000000	100000000	100000000
charsi	384	1536	512	4	1024	1024	384	0	0	0	0	0	0	0	0	100000000	100000000	100000000
akara	384	1536	512	4	1024	1024	384	0	0	0	0	0	0	0	0	100000000	100000000	100000000
lysander	384	1536	512	9	1024	1024	384	0	0	0	0	0	0	0	0	100000000	100000000	100000000
drognan	384	1536	512	9	1024	1024	384	0	0	0	0	0	0	0	0	100000000	100000000	100000000
elzix	384	1536	512	9	1024	1024	384	0	0	0	0	0	0	0	0	100000000	100000000	100000000
fara	384	1536	512	9	1024	1024	384	0	0	0	0	0	0	0	0	100000000	100000000	100000000
hratli	384	1536	512	17	1024	1024	384	0	0	0	0	0	0	0	0	100000000	100000000	100000000
alkor	384	1536	512	17	1024	1024	384	0	0	0	0	0	0	0	0	100000000	100000000	100000000
ormus	384	1536	512	17	1024	1024	384	0	0	0	0	0	0	0	0	100000000	100000000	100000000
asheara	384	1536	512	17	1024	1024	384	0	0	0	0	0	0	0	0	100000000	100000000	100000000
jamella	384	1536	512	41	1024	1024	384	0	0	0	0	0	0	0	0	100000000	100000000	100000000
halbu	384	1536	512	41	1024	1024	384	0	0	0	0	0	0	0	0	100000000	100000000	100000000
malah	256	2048	640	41	768	1536	512	35	1024	1024	384	0	0	0	0	100000000	100000000	100000000
drehya	256	2048	640	41	768	1536	512	35	1024	1024	384	0	0	0	0	100000000	100000000	100000000
larzuk	256	2048	640	41	768	1536	512	35	1024	1024	384	0	0	0	0	100000000	100000000	100000000
nihlathak	256	2048	640	41	768	1536	512	35	1024	1024	384	0	0	0	0	100000000	100000000	100000000
