Name	Rune Name	complete	server	itype1	itype2	itype3	itype4	itype5	itype6	etype1	etype2	etype3	Rune1	Rune2	Rune3	Rune4	Rune5	Rune6	T1Code1	T1Param1	T1Min1	T1Max1	T1Code2	T1Param2	T1Min2	T1Max2	T1Code3	T1Param3	T1Min3	T1Max3	T1Code4	T1Param4	T1Min4	T1Max4	T1Code5	T1Param5	T1Min5	T1Max5	T1Code6	T1Param6	T1Min6	T1Max6	T1Code7	T1Param7	T1Min7	T1Max7	eol
Runeword1	Ancient's Pledge	1		shld									r08	r09	r07				res-cold		30	30	res-all		13	13	ac%		50	50	dmg-to-mana		10	10													0
Runeword43	Amity	1		scep	mace	club							r10	r03	r02				att-undead		200	200	dmg-undead		200	200	mana-kill		4	4	freeze		1	1	dmg-cold	150	6	30	regen		4	6	slow		20	30	0
Runeword2	Armageddon	1		mele									r13	r30	r07	r09	r08		swing3		120	200	crush		50	80	dmg-pois	50	400	400	dmg-fire		180	250	dmg-ltng		40	200	dmg-cold	100	60	120	charged	249	50	20	0
Runeword3	Authority	1		staf									r21	r03	r12				att-demon		300	300	dmg-demon		400	400	ac%		50	50	mana-kill		10	10	dmg-min		20	40	charged	226	10	20					0
Runeword5	Beauty	1		helm									r14	r30	r04				red-dmg%		10	20	regen		10	15	ac-miss		150	250	light		5	5	charged	42	99	30	charged	237	49	20	allskills		3	3	0
Runeword6	Black	1		club	hamm	mace							r10	r16	r04				hit-skill	44	5	10	dmg-max		20	20	swing2		15	15	red-mag		2	2	att		50	50	charged	74	12	4					0
Runeword7	Blood	1		weap									r25	r22	r28	r04	r07		hit-skill	83	5	10	att%		50	100	openwounds		100	100	res-all		30	50	dmg-pois	100	400	400	charged	74	49	20	noheal		1	1	0
Runeword8	Bone	1		phlm									r14	r04	r17				howl		75	75	regen		8	8	knock		1	1	ac-miss		200	200	charged	68	49	15	enr		15	15	dex		15	15	0
Runeword14	Bound by Duty	1		tors	shld								r19	r18	r15	r14			str		30	30	dex		30	30	balance2		50	50	block		30	30	ease		-30	-30	charged	155	20	15	rep-dur	5			0
Runeword9	Bramble	1		glov									r12	r13					swing3		20	20	dmg-min		10	20	hit-skill	44	7	5	dmg-max		20	20													0
Runeword10	Brand	1		miss	jave								r21	r04	r08				ignore-ac		1	1	dmg-fire		30	50	pierce		30	50	hit-skill	44	5	10	hit-skill	36	7	10									0
Runeword11	Breath of the Dying	1		miss									r26	r28	r03	r11			manasteal		10	15	deadly		60	80	mana-kill		8	10	lifesteal		10	15	hit-skill	83	5	10	crush		30	40					0
Runeword12	Broken Promise	1		belt									r15	r04					ease		-20	-30	hit-skill	44	5	10	mag%		-20	-20	stupidity		1	1	light		-3	-3	gold%		-30	-30	allskills		5	5	0
Runeword13	Call to Arms	1		belt									r30	r13					crush		30	50	swing3		30	50	balance2		30	30	red-dmg%		20	20	light		5	5	allskills		2	3	pal		2	2	0
Runeword15	Chance	1		tors									r20	r29	r24				gold%		100	100	mana%		20	20	mag%		40	40	cast2		50	50	allskills		2	2	hp%		10	10					0
Runeword16	Chaos	1		mele									r22	r28	r11	r04			lifesteal		8	8	deadly		40	75	hit-skill	44	5	10	openwounds		60	80	charged	273	30	15	charged	81	30	15	charged	59	30	15	0
Runeword17	Crescent Moon	1		spea	pole								r22	r03	r13	r11	r05		swing3		80	100	lifesteal		8	15	mana-kill		4	8	balance2		30	50	reduce-ac		-100	-100	hit-skill	55	5	15	nofreeze		1	1	0
Runeword18	Darkness	1		weap									r14	r02	r10	r22			openwounds		50	80	light		-4	-4	howl		40	60	regen		7	10	dmg-cold	150	40	80	charged	264	30	15	dmg-undead		200	200	0
Runeword19	Daylight	1		spea	pole								r14	r22	r01				openwounds		80	100	howl		50	80	light		5	5	ignore-ac		1	1	rep-dur	5			hit-skill	38	5	10					0
Runeword20	Death	1		mele									r02	r33	r11	r12	r23		openwounds		30	50	dmg-min		20	20	dmg-max		80	80	lifesteal		20	20	att-undead		300	300	dmg-undead		400	400	hit-skill	64	10	30	0
Runeword21	Deception	1		h2h									r14	r26	r11				howl		50	80	regen		5	10	lifesteal		4	6	manasteal		4	6	res-fire-max		5	10	ass		3	3	charged	81	10	10	0
Runeword22	Delirium	1		h2h									r29	r07					dmg-norm		100	300	dmg-pois	50	500	500	ass		2	2	ignore-ac		1	1	swing3		30	40	rep-dur	5			hit-skill	81	5	10	0
Runeword23	Desire	1		phlm									r11	r13					swing2		30	50	lifesteal		3	3	balance2		30	30	light-thorns		16	16	rep-dur	5			allskills		1	1					0
Runeword24	Despair	1		shld									r28	r26	r25	r27			light		-3	-3	res-pois-max		15	15	res-fire-max		15	15	res-cold-max		15	15	res-ltng-max		15	15	block		20	20	rep-dur	5			0
Runeword32	Destiny's Daughter	1		aspe	abow	ajav							r31	r29	r28				slow		40	40	ignore-ac		1	1	deadly		75	100	pierce		1	1	openwounds		50	100	dmg/lvl	8			swing3		100	200	0
Runeword25	Destruction	1		weap									r30	r08	r04	r27	r25		crush		30	50	dmg-fire		60	240	hit-skill	44	5	10	ignore-ac		1	1	dmg%		100	200	rep-dur	5			swing3		100	100	0
Runeword26	Doomsayer	1		blun									r30	r28					crush		30	50	deadly		30	50	knock		1	1	hit-skill	48	5	20	dmg%		30	60	dmg/lvl	4			rep-dur	5			0
Runeword27	Dragon	1		h2h									r29	r22	r13				swing3		100	200	dmg-norm		50	200	openwounds		80	100	rep-dur	15			block		12	12	dmg-pois	50	300	300	ass		1	1	0
Runeword28	Dread	1		tors									r06	r11	r02	r15			dmg-to-mana		25	25	thorns		20	20	stamdrain		25	25	light		-2	-2	rep-dur	5			allskills		1	1	ease		-30	-30	0
Runeword29	Dream	1		circ									r04	r23	r14				ac-miss		200	200	regen		10	15	red-mag		10	20	regen-mana		10	15	charged	32	20	20	regen-mana		20	20	rep-dur	5			0
Runeword30	Duress	1		weap									r23	r17	r08	r28			deadly		75	100	hit-skill	66	5	10	dmg-fire		60	240	enr		30	30	ignore-ac		1	1	att-skill	47	5	15	rep-dur	5			0
Runeword56	Dweomer	1		pelt									r22	r11	r06				res-all		20	20	thorns		20	30	dmg-to-mana		20	40	rep-dur	25			dru		1	1									0
Runeword31	Edge	1		swor									r12	r05	r22	r04			dmg-min		12	20	ignore-ac		1	1	openwounds		100	100	hit-skill	44	5	10	bloody		5	5	dmg-max		20	40	rep-dur	5			0
Runeword33	Enigma	1		helm									r29	r02	r11				mana%		10	10	mana		100	100	light-thorns		30	60	stamdrain		30	30	light		3	3	half-freeze		1	1	rep-dur	5			0
Runeword34	Enlightenment	1		helm									r17	r15	r32				ac		30	50	enr		30	30	ease		-30	-30	enr/lvl	4			rep-dur	5			cast3		60	60					0
Runeword35	Envy	1		glov									r20	r13					gold%		-50	-50	swing3		60	80	rep-dur	5			cast2		50	50	mag%		-20	-20	ac-miss		100	100					0
Runeword36	Eternity	1		shld	tors								r31	r02	r14				regen		12	12	hp%		30	30	stamdrain		30	30	block		20	20	rep-dur	15			allskills		3	3					0
Runeword37	Exile's Path	1		boot									r15	r02					ease		-30	-30	stamdrain		25	25	move3		30	60	swing3		20	40	rep-dur	3			gold%		-20	-20					0
Runeword38	Faith	1		scep									r11	r21	r22				lifesteal		10	10	res-all		40	40	openwounds		100	100	att-demon		200	200	dmg-demon		300	300	rep-dur	10			ignore-ac		1	1	0
Runeword39	Famine	1		blun									r04	r14	r07				regen		-5	-5	hit-skill	44	5	10	howl		100	100	dmg-pois	50	300	300	rep-dur	5			light		-2	-2	thorns		20	20	0
Runeword40	Flickering Flame	1		miss									r08	r28	r13	r01			swing3		100	100	deadly		50	100	dmg-fire		60	240	explosivearrow		1	1	pierce		40	60	hit-skill	51	5	10	light		5	5	0
Runeword41	Fortitude	1		helm									r13	r20	r01				gold%		125	200	light		3	3	swing3		40	60	balance2		30	30	att		200	200	ac		50	100	rep-dur	5			0
Runeword42	Fortune's Favor	1		boot									r13	r20					gold%		125	200	swing3		20	20	balance2		30	30	block2		15	15	rep-dur	3											0
Runeword44	Fury	1		mele									r31	r25	r05				dmg%		100	100	swing2		40	40	noheal		1	1	openwounds		66	66	lifesteal		6	6	deadly		33	33	skill	147	5	5	0
Runeword45	Gloom	1		helm									r16	r18	r22				vit		20	30	dex		20	30	light		-3	-3	res-all		40	60	charged	264	30	10	allskills		2	2	rep-dur	5			0
Runeword46	Glory	1		circ									r29	r31	r14				mana/lvl	8			slow		50	50	regen		10	20	balance2		30	30	allskills		3	3	cast3		60	60	rep-dur	5			0
Runeword48	Hand of Justice	1		glov									r32	r29	r28				freeze		1	2	knock		1	1	deadly		80	100	ignore-ac		1	1	dmg-min		30	30	dmg-max		100	100	rep-dur	5			0
Runeword49	Harmony	1		belt									r05	r14					regen-mana		20	20	regen		3	3	move1		15	20	swing1		10	10	balance1		10	10	rep-dur	3							0
Runeword50	Hatred	1		phlm									r26	r03	r11				manasteal		10	10	lifesteal		10	10	mana-kill		8	8	noheal		1	1	mag%		-20	-20	demon-heal		20	20	rep-dur	5			0
Runeword51	Heart of the Oak	1		tors									r31	r22	r16	r13	r21		ac%		200	300	hp%		50	50	vit		50	50	balance3		50	50	rep-dur	15			res-pois-len		50	50	nofreeze		1	1	0
Runeword52	Heaven's Will	1		ashd									r31	r30	r16	r04			nofreeze		1	1	red-dmg%		50	50	ac-miss		200	200	block		20	20	res-all		40	40	res-pois-len		50	50	pal		3	3	0
Runeword53	Holy Tears	1		xbow									r26	r11	r02				lifesteal		4	8	thorns		10	20	manasteal		4	8	att-undead		300	300	dmg-undead		400	500	pal		3	3	block		10	20	0
Runeword54	Holy Thunder	1		scep									r05	r08	r09	r07			dmg%		60	60	dmg-ltng		20	60	dmg-max		10	30	res-ltng		60	60	res-ltng-max		5	5	skill	118	3	3	charged	53	60	7	0
Runeword55	Honor	1		mele									r11	r01	r06	r03	r12		dmg%		160	160	regen		10	10	allskills		1	1	att		200	200	deadly		25	25	str		30	30	rep-dur	5			0
Runeword57	Humility	1		tors									r12	r04	r02	r16			vit		30	30	red-dmg		10	30	ac-miss		60	100	stamdrain		30	30	move2		30	50	pal		2	2	rep-dur	5			0
Runeword58	Hunger	1		swor									r22	r23	r11	r07			lifesteal		5	8	hit-skill	66	5	10	openwounds		100	100	dmg-pois	25	300	300	regen		-5	-5	light		-3	-3	rep-dur	5			0
Runeword59	Ice	1		weap									r10	r32	r31	r13			att%		5	10	slow		30	50	dmg-cold	200	60	120	swing3		100	100	rep-dur	3			hit-skill	64	5	15	charged	59	30	20	0
Runeword60	Infinity	1		belt									r32	r13					ac		30	50	balance3		50	50	cast3		50	50	move3		50	50	regen-stam		50	50	vit		30	30	enr		30	30	0
Runeword61	Innocence	1		orb									r01	r29					slow		30	60	light		5	5	ignore-ac		1	1	sor		1	1	dmg-ltng		4	200	hp%		20	20					0
Runeword62	Insight	1		helm									r17	r06					enr		20	20	dmg-to-mana		25	25	cast2		10	30	rep-dur	15			regen-mana		15	15	mana		20	20					0
Runeword63	Jealousy	1		helm									r11	r03	r23				thorns		30	30	mana-kill		8	8	red-mag		12	12	gold%		-30	-30	enr		-20	-20	rep-dur	3			allskills		3	3	0
Runeword64	Judgement	1		scep									r25	r30	r09	r04			crush		50	100	ignore-ac		1	1	dmg-ltng		50	500	light		5	5	dmg-max		50	200	pal		2	2	rep-dur	10			0
Runeword65	King's Grace	1		swor	scep								r11	r08	r10				dmg%		100	100	att		150	150	dmg-demon		100	100	dmg-undead		50	50	att-demon		100	100	att-undead		100	100	rep-dur	10			0
Runeword66	Kingslayer	1		miss									r07	r14	r22	r23			dmg-pois	100	500	500	howl		100	100	openwounds		100	100	hit-skill	66	5	10	ignore-ac		1	1	charged	87	20	15	rep-dur	3			0
Runeword67	Knight's Vigil	1		shld									r21	r04	r02	r15	r06		dmg-to-mana		25	25	block		20	20	ac%		100	100	ease		-30	-30	ac/lvl	16			rep-dur	10							0
Runeword69	Last Wish	1		glov									r04	r05	r28				knock		1	1	ignore-ac		1	1	deadly		40	80	rep-dur	20			ac%		5	20									0
Runeword70	Law	1		helm									r04	r17	r13				enr		25	25	balance3		40	70	cast2		30	50	ac-miss		50	100	ac%		10	30	rep-dur	5							0
Runeword71	Lawbringer	1		staf	mace	scep							r30	r04	r14				hit-skill	66	5	10	crush		40	75	howl		60	80	hit-skill	42	5	10	dmg-max		30	30	rep-dur	5			allskills		1	1	0
Runeword72	Leaf	1		staf									r03	r08					fireskill		3	3	ac/lvl		8	8	res-cold		33	33	skill	41	3	3	skill	36	3	3	skill	37	3	3					0
