skilldesc	SkillPage	SkillRow	SkillColumn	ListRow	ListPool	IconCel	str name	str short	str long	str alt	str mana	descdam	ddam calc1	ddam calc2	p1dmelem	p1dmmin	p1dmmax	p2dmelem	p2dmmin	p2dmmax	p3dmelem	p3dmmin	p3dmmax	descatt	descmissile1	descmissile2	descmissile3	descline1	desctexta1	desctextb1	desccalca1	desccalcb1	descline2	desctexta2	desctextb2	desccalca2	desccalcb2	descline3	desctexta3	desctextb3	desccalca3	desccalcb3	descline4	desctexta4	desctextb4	desccalca4	desccalcb4	descline5	desctexta5	desctextb5	desccalca5	desccalcb5	descline6	desctexta6	desctextb6	desccalca6	desccalcb6	dsc2line1	dsc2texta1	dsc2textb1	dsc2calca1	dsc2calcb1	dsc2line2	dsc2texta2	dsc2textb2	dsc2calca2	dsc2calcb2	dsc2line3	dsc2texta3	dsc2textb3	dsc2calca3	dsc2calcb3	dsc2line4	dsc2texta4	dsc2textb4	dsc2calca4	dsc2calcb4	dsc3line1	dsc3texta1	dsc3textb1	dsc3calca1	dsc3calcb1	dsc3line2	dsc3texta2	dsc3textb2	dsc3calca2	dsc3calcb2	dsc3line3	dsc3texta3	dsc3textb3	dsc3calca3	dsc3calcb3	dsc3line4	dsc3texta4	dsc3textb4	dsc3calca4	dsc3calcb4	dsc3line5	dsc3texta5	dsc3textb5	dsc3calca5	dsc3calcb5	dsc3line6	dsc3texta6	dsc3textb6	dsc3calca6	dsc3calcb6	dsc3line7	dsc3texta7	dsc3textb7	dsc3calca7	dsc3calcb7	eol
attack	0	0	0	0	0	2	skillname0	skillsd0	skillld0	skillan0		1												2																																																																																									0
kick	0	0	0	-1	0	0	skillname1	skillsd1	skillld1	skillan1		2																																																																																																					0
throw	0	0	0	0	0	6	skillname2	skillsd2	skillld2	skillan2		3												3																																																																																									0
unsummon	0	0	0	0	0	4	skillname3	skillsd3	skillld3	skillan3																																																																																																							0
left hand throw	0	0	0	0	0	12	skillname4	skillsd4	skillld4	skillan4		4												4																																																																																									0
left hand swing	0	0	0	-1	0	10	skillname5	skillsd5	skillld5	skillan5																																																																																																							0
magic arrow	1	1	2	1	0	0	skillname6	skillsd6	skillld6	skillan6	StrSkill3	5												1				1					11					10					9					8										66	Convphy2elemalt		50																																																				0
fire arrow	1	1	3	1	0	2	skillname7	skillsd7	skillxld7	skillan7	StrSkill3	5												1				1					11					10					9					8										66	Convphy2magalt		50																	40	Sksyn	skillname7	2		15	skillname16	SynFire50			15	skillname27	SynFire50																							0
inner sight	2	1	1	2	0	4	skillname8	skillsd8	skillld8	skillan8	StrSkill3																	1					12	StrSkill20		len		19	StrSkill18		rng		5	StrSkill25		ast1																																																																			0
critical strike	2	1	3	2	0	6	skillname9	skillsd9	skillld9	skillan9	StrSkill3																	7	StrSkill24		pst1																																																																																		0
jab	3	1	1	3	0	8	skillname10	skillsd10	skillld10	skillan10	StrSkill3	7	clc1											1				1					2	StrSkill4	StrSkill23	clc1		2	StrSkill22	StrSkill23	toht																	25	StrSkill61																			40	Sksyn	skillname10	2		15	skillname19	SynPhys125			15	skillname30	SynPhys125																							0
cold arrow	1	2	1	1	0	10	skillname11	skillsd11	skillxld11	skillan11	StrSkill3	5												1				1					11					10					9					8										66	Convphy2magalt		50																	40	Sksyn	skillname11	2		15	skillname21	SynCold50			15	skillname31	SynCold50																							0
multiple shot	1	2	2	1	0	12	skillname12	skillsd12	skillld12	skillan12	StrSkill3	5												1				1					7	StrSkill9		clc1																						73	WeapDamsk		3	4																																																			0
dodge	2	2	2	2	0	14	skillname13	skillsd13	skillld13	skillan13	StrSkill3																	7	StrSkill24		pst1																																																																																		0
power strike	3	2	2	3	0	16	skillname14	skillsd14	skillld14	skillan14	StrSkill3	5												1				1					11					10					9					8																														40	Sksyn	skillname14	2		15	skillname20	SynLtng40			15	skillname24	SynLtng40			15	skillname34	SynLtng40			15	skillname35	SynLtng40													0
poison javelin	3	2	3	3	0	18	skillname15	skillsd15	skillld15	skillan15	StrSkill3	22												1				1					14																																													40	Sksyn	skillname15	2		15	skillname25	SynPois100																												0
exploding arrow	1	3	3	1	0	20	skillname16	skillsd16	skillxld16	skillan16	StrSkill3	6												1				1					11					10					9					8																														40	Sksyn	skillname16	2		15	skillname7	SynFire50			15	skillname27	SynFire50																							0
slow missiles	2	3	1	2	0	22	skillname17	skillsd17	skillld17	skillan17	StrSkill3																	1					12	StrSkill20		len		19	StrSkill18		rng		3	StrSkill67	StrSkill23	ast1																																																																			0
avoid	2	3	2	2	0	24	skillname18	skillsd18	skillld18	skillan18	StrSkill3																	7	StrSkill24		pst1																																																																																		0
impale	3	3	1	3	0	26	skillname19	skillsd19	skillld19	skillan19	StrSkill3	7	ln12 + (skill('Jab'.blvl) + skill('Fend'.blvl)) * par8 / 250											1				1					3	StrSkill65	StrSkill23	clc2		2	StrSkill4	StrSkill23	clc1		2	StrSkill22	StrSkill23	toht																																40	Sksyn	skillname19	2		15	skillname10	SynPhys125			15	skillname30	SynPhys125																							0
lightning bolt	3	3	3	3	0	28	skillname20	skillsd20	skillld20	skillan20	StrSkill3	21																1					11					10					9					8										66	Convphy2magalt		100																	40	Sksyn	skillname20	2		15	skillname14	SynLtng40			15	skillname24	SynLtng40			15	skillname34	SynLtng40			15	skillname35	SynLtng40													0
ice arrow	1	4	1	1	0	30	skillname21	skillsd21	skillxld21	skillan21	StrSkill3	5												1				1					12	StrSkill62		edln		10					9					8																														40	Sksyn	skillname21	2		15	skillname11	SynCold50			15	skillname31	SynCold50																							0
guided arrow	1	4	2	1	0	32	skillname22	skillsd22	skillld22	skillan22	StrSkill3	7	ln34 + (skill('Magic Arrow'.blvl) + skill('Multiple Shot'.blvl) + skill('Strafe'.blvl)) * par8 / 250															1					2	StrSkill4	StrSkill23	clc1																																										40	Sksyn	skillname22	2		15	skillname6	SynPhys125			15	skillname12	SynPhys125			15	skillname26	SynPhys125																		0
penetrate	2	4	3	2	0	34	skillname23	skillsd23	skillld23	skillan23	StrSkill3																	2	StrSkill10	StrSkill23	pst1																																																																																		0
charged strike	3	4	2	3	0	36	skillname24	skillsd24	skillld24	skillan24	StrSkill3	17																1					10					9					3	StrSkill72	StrSkill73	clc1																																40	Sksyn	skillname24	2		15	skillname14	SynLtng40			15	skillname20	SynLtng40			15	skillname34	SynLtng40			15	skillname35	SynLtng40													0
plague javelin	3	4	3	3	0	38	skillname25	skillsd25	skillld25	skillan25	StrSkill3	22												1				1					14					2	StrSkill22	StrSkill23	toht																																					40	Sksyn	skillname25	2		15	skillname15	SynPois100																												0
