skill	Id	charclass	skilldesc	srvstfunc	srvdofunc	prgstack	srvprgfunc1	srvprgfunc2	srvprgfunc3	prgcalc1	prgcalc2	prgcalc3	prgdam	srvmissile	decquant	lob	srvmissilea	srvmissileb	srvmissilec	srvoverlay	aurafilter	aurastate	auratargetstate	auralencalc	aurarangecalc	aurastat1	aurastatcalc1	aurastat2	aurastatcalc2	aurastat3	aurastatcalc3	aurastat4	aurastatcalc4	aurastat5	aurastatcalc5	aurastat6	aurastatcalc6	auraevent1	auraeventfunc1	auraevent2	auraeventfunc2	auraevent3	auraeventfunc3	auratgtevent	auratgteventfunc	passivestate	passiveitype	passivestat1	passivecalc1	passivestat2	passivecalc2	passivestat3	passivecalc3	passivestat4	passivecalc4	passivestat5	passivecalc5	passiveevent	passiveeventfunc	summon	pettype	petmax	summode	sumskill1	sumsk1calc	sumskill2	sumsk2calc	sumskill3	sumsk3calc	sumskill4	sumsk4calc	sumskill5	sumsk5calc	sumumod	sumoverlay	stsuccessonly	stsound	stsoundclass	stsounddelay	weaponsnd	dosound	dosound a	dosound b	tgtoverlay	tgtsound	prgoverlay	prgsound	castoverlay	cltoverlaya	cltoverlayb	cltstfunc	cltdofunc	cltprgfunc1	cltprgfunc2	cltprgfunc3	cltmissile	cltmissilea	cltmissileb	cltmissilec	cltmissiled	cltcalc1	*cltcalc1 desc	cltcalc2	*cltcalc2 desc	cltcalc3	*cltcalc3 desc	warp	immediate	enhanceable	attackrank	noammo	range	weapsel	itypea1	itypea2	itypea3	etypea1	etypea2	itypeb1	itypeb2	itypeb3	etypeb1	etypeb2	anim	seqtrans	monanim	seqnum	seqinput	durability	UseAttackRate	LineOfSight	TargetableOnly	SearchEnemyXY	SearchEnemyNear	SearchOpenXY	SelectProc	TargetCorpse	TargetPet	TargetAlly	TargetItem	AttackNoMana	TgtPlaceCheck	ItemEffect	ItemCltEffect	ItemTgtDo	ItemTarget	ItemCheckStart	ItemCltCheckStart	ItemCastSound	ItemCastOverlay	skpoints	reqlevel	maxlvl	reqstr	reqdex	reqint	reqvit	reqskill1	reqskill2	reqskill3	restrict	State1	State2	State3	delay	leftskill	repeat	checkfunc	nocostinstate	usemanaondo	startmana	minmana	manashift	mana	lvlmana	interrupt	InTown	aura	periodic	perdelay	finishing	passive	progressive	general	scroll	calc1	*calc1 desc	calc2	*calc2 desc	calc3	*calc3 desc	calc4	*calc4 desc	Param1	*Param1 Description	Param2	*Param2 Description	Param3	*Param3 Description	Param4	*Param4 Description	Param5	*Param5 Description	Param6	*Param6 Description	Param7	*Param7 Description	Param8	*Param8 Description	InGame	ToHit	LevToHit	ToHitCalc	ResultFlags	HitFlags	HitClass	Kick	HitShift	SrcDam	MinDam	MinLevDam1	MinLevDam2	MinLevDam3	MinLevDam4	MinLevDam5	MaxDam	MaxLevDam1	MaxLevDam2	MaxLevDam3	MaxLevDam4	MaxLevDam5	DmgSymPerCalc	EType	EMin	EMinLev1	EMinLev2	EMinLev3	EMinLev4	EMinLev5	EMax	EMaxLev1	EMaxLev2	EMaxLev3	EMaxLev4	EMaxLev5	EDmgSymPerCalc	ELen	ELevLen1	ELevLen2	ELevLen3	ELenSymPerCalc	aitype	aibonus	cost mult	cost add
Attack	0		attack	1	1																																									passive_start1		fireresist	0 - stat(12.accr)	coldresist	0 - stat(12.accr)	lightresist	0 - stat(12.accr)	poisonresist	0 - stat(12.accr)	magicresist	0 - stat(12.accr)																																		1	1																		0		both		weap			tpot							A1	A1	A1				1		1	1								1											1									1					1		1				0	8	0	0	1					1			1																										1								8	128														stam																					0	0
Kick	1		kick	2	2																																									passive_start2		passive_fire_mastery	stat(1.accr) / 4	passive_cold_mastery	stat(1.accr) / 4	passive_ltng_mastery	stat(1.accr) / 4	passive_pois_mastery	stat(1.accr) / 4	passive_mag_mastery	stat(1.accr) / 4																																		0	0																		0		h2h	4											KK	KK	xx						1	1							1												1																				0	8	0	0									1																										1							1	8															stam																					0	0
Throw	2		throw	65	3																																									passive_start3		hpregen	stat(3.accr) / 10	normal_damage_reduction	"max(0, (stat(2.accr) - 100) / 4)"	magic_damage_reduction	"max(0, (stat(2.accr) - 100) / 4)"	item_thorns_percent	stat(0.accr)																																				2	2																		0		rng		thro										TH	TH	xx				1																						1														1						0	8	0	0	1								1																										1								8	128														stam																					0	0
Unsummon	3		unsummon	3	4																																																																																						3	0																		0		rng												SC	SC	xx						1						1														1									1											0	8	0	0	1	1							1																										1								8															stam																					0	0
Left Hand Throw	4		left hand throw	65	5																																																																																						2	2																		0		rng	1	thro										S4	S4	xx			1	1																						1														1						0	8	0	0	1								1																										1								8	128														stam																					0	0
Left Hand Swing	5		left hand swing	1	1																																																																																						4	1																		0		both	1	weap			tpot							S3	S3	S3			1	1		1	1																			1														1		4				0	8	0	0	1								1																										1								8															stam																					0	0
Magic Arrow	6	ama	magic arrow											magicarrow																																																																																		magicarrow													1	0	1	rng		miss										A1	A1	xx				1																					(skill('Magic Arrow'.blvl) < 100) ? (skill('Magic Arrow'.blvl)/50+1) : ((skill('Magic Arrow'.blvl)-50)/25+1)	20	250													1						0	6	0	1	1																																		1	10	5						8	128	0	2	3	4	5	6	0	2	3	4	5	6	stat(2.accr) / 4																						64	125
Fire Arrow	7	ama	fire arrow	4										firearrow	1																																																																												11					firearrow													1	0		rng		miss										A1	A1	xx				1																					(skill('Fire Arrow'.blvl) < 100) ? (skill('Fire Arrow'.blvl)/50+1) : ((skill('Fire Arrow'.blvl)-50)/25+1)	15	250												2	1		1				1	6	12	2	1																																50	damage synergy	1	10	5						8	128														fire	2	2	4	8	12	24	8	2	4	8	12	24	(skill('Exploding Arrow'.blvl) + skill('Immolation Arrow'.blvl)) * par8 / 250								64	125
Inner Sight	8	ama	inner sight		6																34179		innersight	ln34	ln56	armorclass	0-edmn																																																		amazon_eyeofzeus											cast_innersight																					1	3		none												SC	SC	xx					4												1						amazon_eyeofzeus	cast_innersight	(skill('Inner Sight'.blvl) < 100) ? (skill('Inner Sight'.blvl)/50+1) : ((skill('Inner Sight'.blvl)-50)/25+1)	5	250																			1	7	10	2	1																		30	base monster ac	100	monster ac/lvl	200	duration	25	duration per level	20	radius of effect	0	radius per level					1								8																40	25	45	60	80	100															64	125
Critical Strike	9	ama	critical strike																																											criticalstrike		passive_critical_strike	"min(par2, par1 + lvl / 3)"																																																												1	4		rng		spea	miss											xx				1																					(skill('Critical Strike'.blvl) < 100) ? (skill('Critical Strike'.blvl)/50+1) : ((skill('Critical Strike'.blvl)-50)/25+1)	20	250													1						0	8	0	0	1						1												10	min % to do double damage	100	max % to do double damage													1								8																																				64	125
