Superunique	Name	Class	hcIdx	MonSound	Mod1	Mod2	Mod3	MinGrp	MaxGrp	EClass	AutoPos	Stacks	Replaceable	Utrans	Utrans(N)	Utrans(H)	TC	TC(N)	TC(H)	*eol
Bishibosh	Bishibosh	fallenshaman2	0		5	8	9	8	8	0	1	0		11	11	11	Act 1 Super A	Act 1 (N) Super A	Act 1 (H) Super A	
Bonebreak	Bonebreak	skeleton2	1		5	8	26	10	10	0	1	0		5	5	5	Act 1 Super A	Act 1 (N) Super A	Act 1 (H) Super A	
Coldcrow	Coldcrow	cr_archer2	2		18	6	5	8	8	0	1	0		18	18	18	Act 1 Super A	Act 1 (N) Super A	Act 1 (H) Super A	
Rakanishu	Rakanishu	fallen3	3		17	6	25	16	16	0	0	0	1	29	29	29	Act 1 Super B	Act 1 (N) Super B	Act 1 (H) Super B	
Treehead WoodFist	Treehead WoodFist	treant1	4		5	6	28	6	6	0	1	0	1	4	4	4	Act 1 Super B	Act 1 (N) Super B	Act 1 (H) Super B	
Griswold	Griswold	griswold	5		7	6	27	0	0	0	1	0	1	17	17	17	Griswold	Griswold (N)	Griswold (H)	
The Countess	The Countess	corruptrogue4	6	countess	6	8	25	12	20	0	1	0		16	16	16	Countess	Countess (N)	Countess (H)	
Pitspawn Fouldog	Pitspawn Fouldog	bighead3	7		7	18	26	8	8	0	1	0		31	31	31	Act 1 Super B	Act 1 (N) Super B	Act 1 (H) Super B	
Flamespike the Crawler	Flamespike the Crawler	quillbear2	8		6	7	28	12	12	0	1	0		16	16	16	Act 1 Unique C	Act 1 (N) Unique C	Act 1 (H) Unique C	
Boneash	Boneash	skmage_pois4	9		8	5	18	0	0	0	1	0		15	15	15	Act 1 Super C	Act 1 (N) Super C	Act 1 (H) Super C	
Radament	Radament	radament	10		6	7	23	6	6	0	1	0		30	30	30	Radament	Radament (N)	Radament (H)	
Bloodwitch the Wild	Bloodwitch the Wild	pantherwoman2	11		5	7	23	10	10	0	1	0		29	29	29	Act 2 Super A	Act 2 (N) Super A	Act 2 (H) Super A	
Fangskin	Fangskin	clawviper4	12		17	6	8	8	8	0	1	0		14	14	14	Act 2 Super B	Act 2 (N) Super B	Act 2 (H) Super B	
Beetleburst	Beetleburst	scarab3	13		8	7	6	6	6	0	1	0	1	13	13	13	Act 2 Super B	Act 2 (N) Super B	Act 2 (H) Super B	
Leatherarm	Leatherarm	mummy3	14		5	18	9	10	10	0	1	0		25	25	25	Act 2 Super A	Act 2 (N) Super A	Act 2 (H) Super A	
Coldworm the Burrower	Coldworm the Burrower	maggotqueen5	15		18	8	7	0	0	0	0	0		13	13	13	Act 2 Super B	Act 2 (N) Super B	Act 2 (H) Super B	
Fire Eye	Fire Eye	sandraider4	16		6	9	26	6	6	0	1	0		12	12	12	Act 2 Super B	Act 2 (N) Super B	Act 2 (H) Super B	
Dark Elder	Dark Elder	zombie5	17		6	8	7	10	10	0	1	0	1	27	27	27	Act 2 Super B	Act 2 (N) Super B	Act 2 (H) Super B	
The Summoner	The Summoner	summoner	18		5	6	26	0	0	0	1	0		26	26	26	Summoner	Summoner (N)	Summoner (H)	
Ancient Kaa the Soulless	Ancient Kaa the Soulless	unraveler5	19		25	5	17	6	6	0	1	0		11	11	11	Act 2 Super C	Act 2 (N) Super C	Act 2 (H) Super C	
The Smith	The Smith	smith	20	smith	5	8	26	0	0	0	1	0		26	26	26	Smith	Smith (N)	Smith (H)	
Web Mage the Burning	Web Mage the Burning	arach5	21		5	7	9	10	10	0	1	0		19	19	19	Act 3 Super A	Act 3 (N) Super A	Act 3 (H) Super A	
Witch Doctor Endugu	Witch Doctor Endugu	fetishshaman5	22		8	6	30	12	12	0	1	0		20	20	20	Act 3 Super B	Act 3 (N) Super B	Act 3 (H) Super B	
Stormtree	Stormtree	treant2	23		6	17	28	8	8	0	1	0	1	35	35	35	Act 3 Super B	Act 3 (N) Super B	Act 3 (H) Super B	
Sarina the Battlemaid	Sarina the Battlemaid	corruptrogue5	24		6	27	25	18	18	0	1	0	1	36	36	36	Act 3 Super B	Act 3 (N) Super B	Act 3 (H) Super B	
Icehawk Riftwing	Icehawk Riftwing	batdemon4	25		18	26	30	14	14	0	1	0		21	21	21	Act 3 Super A	Act 3 (N) Super A	Act 3 (H) Super A	
Ismail Vilehand	Ismail Vilehand	councilmember1	26		6	7	5	6	6	0	1	0		36	36	36	Council	Council (N)	Council (H)	
Geleb Flamefinger	Geleb Flamefinger	councilmember2	27		5	6	8	6	6	0	1	0		37	37	37	Council	Council (N)	Council (H)	
Bremm Sparkfist	Bremm Sparkfist	councilmember3	28		30	18	5	6	6	0	1	0		22	22	22	Council	Council (N)	Council (H)	
