Treasure Class	group	level	Picks	Unique	Set	Rare	Magic	NoDrop	Item1	Prob1	Item2	Prob2	Item3	Prob3	Item4	Prob4	Item5	Prob5	Item6	Prob6	Item7	Prob7	Item8	Prob8	Item9	Prob9	Item10	Prob10	Term
Gold			1					50	gld	30																			0
Empty			0					100																					
Gold1			1						Empty	8	"gld,mul=2048"	1																	
Gold2			1						Empty	8	"gld,mul=4096"	1																	
Gold3			1						Empty	8	"gld,mul=6144"	1																	
Gold4			1						Empty	8	"gld,mul=8192"	1																	
Gold5			1						Empty	8	"gld,mul=10240"	1																	
Gold6			1						Empty	8	"gld,mul=12288"	1																	
Gold7			1						Empty	8	"gld,mul=14336"	1																	
Gold8			1						Empty	8	"gld,mul=16384"	1																	
Gold9			1						Empty	8	"gld,mul=18432"	1																	
Gold10			1						Empty	8	"gld,mul=20480"	1																	
Gold11			1						Empty	8	"gld,mul=22528"	1																	
Gold12			1						Empty	8	"gld,mul=24576"	1																	
Gold13			1						Empty	8	"gld,mul=26624"	1																	
Gold14			1						Empty	8	"gld,mul=28672"	1																	
Gold15			1						Empty	8	"gld,mul=30720"	1																	
Gold16			1						Empty	8	"gld,mul=32768"	1																	
Gold17			1						Empty	8	"gld,mul=34816"	1																	
Gold18			1						Empty	8	"gld,mul=36864"	1																	
Gold19			1						Empty	8	"gld,mul=38912"	1																	
Gold20			1						Empty	8	"gld,mul=40960"	1																	
Gold1 (N)			1						Empty	8	"gld,mul=4096"	1																	
Gold2 (N)			1						Empty	8	"gld,mul=8192"	1																	
Gold3 (N)			1						Empty	8	"gld,mul=12288"	1																	
Gold4 (N)			1						Empty	8	"gld,mul=16384"	1																	
Gold5 (N)			1						Empty	8	"gld,mul=20480"	1																	
Gold6 (N)			1						Empty	8	"gld,mul=24576"	1																	
Gold7 (N)			1						Empty	8	"gld,mul=28672"	1																	
Gold8 (N)			1						Empty	8	"gld,mul=32768"	1																	
Gold9 (N)			1						Empty	8	"gld,mul=36864"	1																	
Gold10 (N)			1						Empty	8	"gld,mul=40960"	1																	
Gold11 (N)			1						Empty	8	"gld,mul=45056"	1																	
Gold12 (N)			1						Empty	8	"gld,mul=49152"	1																	
Gold13 (N)			1						Empty	8	"gld,mul=53248"	1																	
Gold14 (N)			1						Empty	8	"gld,mul=57344"	1																	
Gold15 (N)			1						Empty	8	"gld,mul=61440"	1																	
Gold16 (N)			1						Empty	8	"gld,mul=65536"	1																	
Gold17 (N)			1						Empty	8	"gld,mul=69632"	1																	
Gold18 (N)			1						Empty	8	"gld,mul=73728"	1																	
Gold19 (N)			1						Empty	8	"gld,mul=77824"	1																	
Gold20 (N)			1						Empty	8	"gld,mul=81920"	1																	
Gold1 (H)			1						Empty	8	"gld,mul=8192"	1																	
Gold2 (H)			1						Empty	8	"gld,mul=16384"	1																	
Gold3 (H)			1						Empty	8	"gld,mul=24576"	1																	
Gold4 (H)			1						Empty	8	"gld,mul=32768"	1																	
Gold5 (H)			1						Empty	8	"gld,mul=40960"	1																	
Gold6 (H)			1						Empty	8	"gld,mul=49152"	1																	
Gold7 (H)			1						Empty	8	"gld,mul=57344"	1																	
Gold8 (H)			1						Empty	8	"gld,mul=65536"	1																	
Gold9 (H)			1						Empty	8	"gld,mul=73728"	1																	
Gold10 (H)			1						Empty	8	"gld,mul=81920"	1																	
Gold11 (H)			1						Empty	8	"gld,mul=90112"	1																	
Gold12 (H)			1						Empty	8	"gld,mul=98304"	1																	
Gold13 (H)			1						Empty	8	"gld,mul=106496"	1																	
Gold14 (H)			1						Empty	8	"gld,mul=114688"	1																	
Gold15 (H)			1						Empty	8	"gld,mul=122880"	1																	
Gold16 (H)			1						Empty	8	"gld,mul=131072"	1																	
Gold17 (H)			1						Empty	8	"gld,mul=139264"	1																	
Gold18 (H)			1						Empty	8	"gld,mul=147456"	1																	
Gold19 (H)			1						Empty	8	"gld,mul=155648"	1																	
Gold20 (H)			1						Empty	8	"gld,mul=163840"	1																	
Jewelry A			1	2	25	50	75	45	rin	8	amu	8	jew	8	cm6	5	cm5	4	cm4	3	cm3	2	cm2	1	cm1	1			0
Jewelry B			1	2	25	50	75	45	rin	8	amu	8	jew	8	cm6	6	cm5	5	cm4	4	cm3	3	cm2	2	cm1	1			0
Jewelry C			1	2	25	50	75	45	rin	8	amu	8	jew	8	cm6	7	cm5	6	cm4	5	cm3	4	cm2	3	cm1	2			0
Chipped Gem			1					45	gcv	3	gcb	3	gcg	3	gcr	3	gcw	3	gcy	3	skc	2							0
Flawed Gem			1					45	gfv	3	gfb	3	gfg	3	gfr	3	gfw	3	gfy	3	skf	2							0
Normal Gem			1					45	gsv	3	gsb	3	gsg	3	gsr	3	gsw	3	gsy	3	sku	2							0
Flawless Gem			1					45	gzv	3	glb	3	glg	3	glr	3	glw	3	gly	3	skl	2							0
Perfect Gem			1					45	gpv	3	gpb	3	gpg	3	gpr	3	gpw	3	gpy	3	skz	2							0
Royal Gem			1					45	grv	3	grb	3	grg	3	grr	3	grw	3	gry	3	sko	2							0
Imperial Gem			1					45	giv	3	gib	3	gig	3	gir	3	giw	3	giy	3	ski	2							0
Elite Gem			1					0	gpv	3	gpb	3	gpg	3	gpr	3	gpw	3	gpy	3	skz	2							0
Elite Gem (N)			1					0	grv	3	grb	3	grg	3	grr	3	grw	3	gry	3	sko	2							0
Elite Gem (H)			1					0	giv	3	gib	3	gig	3	gir	3	giw	3	giy	3	ski	2							0
Misc 0			1					45	tsc	5	isc	8	ops	6	gps	6	key	20											0
Misc 1			1					40	tsc	5	isc	8	opm	6	gpm	6	key	20	Misc 0	5									0
Misc 2			1					40	tsc	5	isc	8	opl	6	gpl	6	key	20	Misc 1	5									0
Hpotion 1			1					40	Chipped Gem	2	vps	2	yps	2	wms	2	hp1	6	mp1	6									0
Hpotion 2			1					40	Chipped Gem	2	vps	2	yps	2	wms	2	hp2	6	mp2	6									0
Hpotion 3			1					40	Flawed Gem	2	vps	2	yps	2	wms	2	hp3	6	mp3	6									0
Hpotion 4			1					40	Normal Gem	2	vps	2	yps	2	wms	2	hp4	6	mp4	6									0
Hpotion 5			1					40	Flawless Gem	2	vps	2	yps	2	wms	2	hp5	6	mp5	6									0
Hpotion 6			1					40	Perfect Gem	2	vps	2	yps	2	wms	2	hp5	6	mp5	6									0
Potion 1			1					40	Chipped Gem	2	ops	1	gps	1	key	2	hp1	7	mp1	7									0
Potion 2			1					40	Chipped Gem	2	ops	1	gps	1	key	2	hp2	7	mp2	7									0
Potion 3			1					40	Flawed Gem	2	opm	1	gpm	1	key	2	hp3	7	mp3	7									0
Potion 4			1					40	Normal Gem	2	opm	1	gpm	1	key	2	hp4	7	mp4	7									0
Potion 5			1					40	Flawless Gem	2	opl	1	gpl	1	key	2	hp5	7	mp5	7									0
Potion 6			1					40	Perfect Gem	2	opl	1	gpl	1	key	2	hp5	7	mp5	7									0
Runes 1			1					50	r01	10	r02	4	r03	2															0
Runes 2			1					50	r03	10	r04	4	Runes 1	5															0
Runes 3			1					50	r05	10	r06	4	Runes 2	10															0
Runes 4			1					50	r07	10	r08	4	Runes 3	15															0
Runes 5			1					50	r09	10	r10	4	Runes 4	20															0
Runes 6			1					50	r11	10	r12	4	Runes 5	25															0
Runes 7			1					50	r13	10	r14	4	Runes 6	30															0
Runes 8			1					50	r15	10	r16	4	Runes 7	35															0
Runes 9			1					50	r17	10	r18	4	Runes 8	40															0
Runes 10			1					50	r19	10	r20	4	Runes 9	45															0
Runes 11			1					50	r21	10	r22	4	Runes 10	50															0
Runes 12			1					50	r23	10	r24	4	Runes 11	55															0
Runes 13			1					50	r25	10	r26	4	Runes 12	60															0
Runes 14			1					50	r27	10	r28	4	Runes 13	65															0
Runes 15			1					50	r29	10	r30	4	Runes 14	70															0
Runes 16			1					50	r31	10	r32	4	Runes 15	75															0
Runes 17			1					50	r33	10	Runes 16	80																	0
