index	version	enabled	ladder	rarity	nolimit	Level	lvl req	code	*type	*uber	carry1	cost mult	cost add	chrtransform	invtransform	flippyfile	invfile	dropsound	dropsfxframe	usesound	prop1	par1	min1	max1	prop2	par2	min2	max2	prop3	par3	min3	max3	prop4	par4	min4	max4	prop5	par5	min5	max5	prop6	par6	min6	max6	prop7	par7	min7	max7	prop8	par8	min8	max8	prop9	par9	min9	max9	prop10	par10	min10	max10	prop11	par11	min11	max11	prop12	par12	min12	max12	End
The Gnasher	0	1		10	1	6	3	hax	axe			100	4500	dyel			invhaxu				att		45	45	openwounds		60	60	crush		25	25	dmg%		90	115	sock	2																															0
Deathspade	0	1		10	1	12	5	axe	axe			100	7500	dgld			invaxeu				stupidity		1	1	dmg-min		12	12	att%		20	20	mana-kill		6	6	dmg%		75	90	sock	3																											0
Bladebone	0	1		10	1	20	8	2ax	axe			100	12500	lgry	lgry						swing2		25	25	ac		25	25	fire-min		12	12	fire-max		18	18	dmg%		100	125																													0
Mindrend	0	1		10	1	28	11	mpi	axe			100	17500	lgrn			invmpiu				stupidity		2	2	regen-mana		25	25	ltng-min		1	1	ltng-max		18	25	att		75	150	dmg%		90	150	openwounds		20	20																					0
Rakescar	0	1		10	1	36	15	wax	axe			100	22500	dgry	dgry						pois-min		180	180	pois-max		180	180	pois-len		75	75	att		75	75	res-pois		60	60	dmg%		105	225	swing2		40	40																					0
Fechmars Axe	0	1		10	1	10	4	lax	axe 2h			100	7000	lpur	lpur						dmg%		105	135	freeze		4	8	res-cold		60	60	light		3	3																																	0
Goreshovel	0	1		10	1	18	8	bax	axe 2h			100	12000	dpur	dpur						swing3		40	40	str		30	30	openwounds		75	75	dmg%		60	75	dmg-max		15	15																													0
The Chieftan	0	1		10	1	26	11	btx	axe 2h			100	16500	oran			invbtxu				dmg%		150	150	res-all		15	25	mana-kill		6	6	swing2		20	20	dmg-ltng		1	40																													0
Brainhew	0	1		10	1	34	14	gax	axe 2h			100	21500	whit			invgaxu				dmg-min		21	21	mana		40	40	light		5	5	manasteal		12	16	dmg%		75	120	dmg-fire		24	50																									0
The Humongous	0	1		10	1	38	16	gix	axe 2h			100	24500	blac	blac						ease		250	250	ease-string		25	25	str		25	35	dmg-min		12	12	dmg-max		20	35	crush		40	40	dmg%		120	180																					0
Iros Torch	0	1		10	1	6	3	wnd	wand			100	4500	cred			invwndu				nec		2	2	lifesteal		9	9	dmg-fire		8	15	light		4	4	enr		15	15	regen-mana		10	10																									0
Maelstromwrath	0	1		10	1	18	8	ywn	wand			100	12000	dblu	dblu						ltng-min		3	3	ltng-max		20	20	res-ltng		50	50	mana		20	20	cast2		45	45	skill	74	2	4	skill	77	2	4	skill	66	2	4	skill	76	2	4													0
Gravenspine	0	1		10	1	26	14	bwn	wand			100	21500	cgrn			invbwnu				str		15	15	dex		15	15	cold-min		6	6	cold-max		12	12	cold-len		100	100	manasteal		8	8	nec		3	3	mana		35	70																	0
Umes Lament	0	1		10	1	38	16	gwn	wand			100	24000	lblu	lblu						nec		3	3	mana		60	60	cast2		30	30	howl		80	80	skill	77	4	4	skill	87	3	3	sock	2																							0
Felloak	0	1		10	1	4	1	clb	club			100	2500	lgry			invclbu				res-ltng		75	75	res-fire		30	30	knock		1	1	fire-min		9	9	fire-max		12	12	dmg%		105	130	dur		20	20																					0
Knell Striker	0	1		10	1	6	3	scp	scepter			100	4500	dred	dred						crush		35	35	res-fire		30	30	res-pois		30	30	mana		20	20	att		50	50	dmg%		105	140	dur		20	20																					0
Rusthandle	0	1		10	1	22	9	gsc	scepter			100	14500	lgld	lgld						pal		1	2	dmg-norm		6	15	red-mag		2	2	lifesteal		10	10	dmg%		125	150	skill	111	2	4	skill	103	4	4																					0
Stormeye	0	1		10	1	30	13	wsp	scepter			100	19500	cred	cred						dmg-ltng		2	9	dmg-cold	100	5	8	regen		12	12	dmg%		120	180	skill	110	4	6	skill	118	4	4	skill	121	2	2																					0
Stoutnail	0	1		10	1	6	3	spc	club			100	4500	dgry			invspcu				thorns		25	75	dmg%		150	150	vit		10	10	red-mag		3	3	dur		20	20																													0
Crushflange	0	1		10	1	12	5	mac	mace			100	7500	blac	blac						str		20	20	knock		1	1	light		3	3	res-fire		60	60	dmg%		75	90	crush		50	50																									0
Bloodrise	0	1		10	1	20	8	mst	mace			100	12500	lblu			invmstu				dmg%		180	180	att%		75	75	openwounds		35	35	light		3	3	swing1		15	15	skill	96	4	4	lifesteal		8	8																					0
GeneralsTanDoLiGa	0	1		10	1	38	16	fla	mace			100	24500	dblu	dblu						dmg-min		2	2	dmg-max		30	30	slow		70	70	ac		35	35	manasteal		8	8	dmg%		75	90	swing2		30	30																					0
Ironstone	0	1		10	1	36	15	whm	hammer			100	22500	cblu	cblu						att		150	200	dmg%		150	200	ltng-min		2	2	ltng-max		20	20	str		15	15	ac		-10	-10																									0
Bonesob	0	1		10	1	32	13	mau	hammer			100	20000	lred			invmauu				dmg%		350	450	crush		60	60	res-fire		40	40	res-cold		40	40	dur		20	20																													0
Steeldriver	0	1		10	1	38	16	gma	hammer			100	24500	cgrn	cgrn		invgma				ease		-500	-500	ease-string		-50	-50	swing3		50	50	regen-stam		30	30	dmg%		225	375	knock		2	2	dur		10	20																					0
Rixots Keen	0	1		10	1	2	1	ssd	sword			100	2000	blac	blac						dmg-min		8	8	att%		30	30	light		3	3	crush		30	30	ac		35	35	dmg%		150	150																									0
Blood Crescent	0	1		10	1	10	4	scm	sword			100	6500	lblu			invscmu				res-all		20	20	dmg%		90	120	hp		25	25	light		5	5	openwounds		50	50	swing2		20	20	lifesteal		20	20																					0
Krintizs Skewer	0	1		10	1	14	6	sbr	sword			100	9000	cblu			inv9sbu				ignore-ac		1	1	str		15	15	dex		15	15	manasteal		10	10	dmg%		75	75	dmg-norm		5	15																									0
Gleamscythe	0	1		10	1	18	7	flc	sword			100	11500	lred			invflcu				light		4	4	mana		40	40	ac		25	25	swing2		25	25	dmg%		90	150	dmg-cold	75	5	10																									0
Azurewrath	0	1		10	1	18	7	crs	sword			100	11500	lgry			invcrsu				deadly		65	65	mag%		15	15	dmg-cold	150	8	20	dmg%		150	150	dur		35	35	dmg-mag		10	20																									0
Griswolds Edge	0	1		10	1	22	9	bsd	sword			100	14500	cred			invbsdu				fire-min		15	18	fire-max		25	40	att		150	150	swing1		15	15	knock		2	2	dmg%		120	180	str		18	18																					0
Hellplague	0	1		10	1	30	12	lsd	sword			100	19000	dred			invlsdu				manasteal		8	8	lifesteal		8	8	pois-min		64	64	pois-max		144	144	pois-len		150	150	dmg%		105	120	dmg-fire		40	105	fireskill		3	3																	0
Culwens Point	0	1		10	1	38	16	wsd	sword			100	24500	whit	whit						allskills		2	2	res-pois-len		75	75	balance2		30	30	swing2		25	25	att		90	90	dmg%		105	120																									0
Shadowfang	0	1		10	1	16	6	2hs	sword 2h			100	10000	cgrn			inv2hsu				manasteal		12	12	res-cold		25	25	light		-3	-3	dmg-cold	150	15	45	dmg%		150	150	lifesteal		12	12																									0
Soulflay	0	1		10	1	26	11	clm	sword 2h			100	16500	dgrn	dgrn						manasteal		6	15	lifesteal		6	6	dmg%		105	150	res-all		10	10	swing2		15	15																													0
Kinemils Awl	0	1		10	1	30	13	gis	sword 2h			100	19500	dblu			invgisu				att		150	225	mana		30	30	fire-min		9	9	fire-max		30	60	dmg%		120	150	skill	102	8	8																									0
Blacktongue	0	1		10	1	34	14	bsw	sword 2h			100	22000	lgrn			invbswu				dmg-pois	150	250	250	noheal		1	1	att		75	75	res-pois		60	60	dmg%		75	90	ac		-20	-20																									0
Ripsaw	0	1		10	1	34	14	flb	sword 2h			100	22000	cblu	cblu						openwounds		100	100	dmg-max		20	20	manasteal		9	9	dmg%		120	150																																	0
The Patriarch	0	1		10	1	38	16	gsd	sword 2h			100	24500	cred			invgsdu				red-dmg		4	4	red-mag		4	4	stupidity		1	1	gold%		150	150	dmg%		150	180	str		15	15																									0
Gull	0	1		10	1	6	2	dgr	dagger			100	4000	lgry	lgry						dmg-min		2	2	dmg-max		25	25	mag%		120	120	mana		-15	-15																																	0
The Diggler	0	1		10	1	14	6	dir	dagger			100	9500	dgry	dgry						dex		15	15	dmg%		75	75	swing3		45	45	res-cold		30	30	res-fire		30	30	ignore-ac		1	1																									0
