name	type	type2	code	alternateGfx	namestr	version	compactsave	rarity	spawnable	mindam	maxdam	1or2handed	2handed	2handmindam	2handmaxdam	minmisdam	maxmisdam	rangeadder	speed	StrBonus	DexBonus	reqstr	reqdex	durability	nodurability	level	levelreq	cost	gamble cost	magic lvl	auto prefix	OpenBetaGfx	normcode	ubercode	ultracode	wclass	2handedwclass	component	hit class	invwidth	invheight	stackable	minstack	maxstack	spawnstack	flippyfile	invfile	uniqueinvfile	setinvfile	hasinv	gemsockets	gemapplytype	special	useable	dropsound	dropsfxframe	usesound	unique	transparent	transtbl	quivered	lightradius	belt	quest	questdiffcheck	missiletype	durwarning	qntwarning	gemoffset	bitfield1	AkaraMin	AkaraMax	AkaraMagicMin	AkaraMagicMax	AkaraMagicLvl	GheedMin	GheedMax	GheedMagicMin	GheedMagicMax	GheedMagicLvl	CharsiMin	CharsiMax	CharsiMagicMin	CharsiMagicMax	CharsiMagicLvl	FaraMin	FaraMax	FaraMagicMin	FaraMagicMax	FaraMagicLvl	LysanderMin	LysanderMax	LysanderMagicMin	LysanderMagicMax	LysanderMagicLvl	DrognanMin	DrognanMax	DrognanMagicMin	DrognanMagicMax	DrognanMagicLvl	HraltiMin	HraltiMax	HraltiMagicMin	HraltiMagicMax	HratliMagicLvl	AlkorMin	AlkorMax	AlkorMagicMin	AlkorMagicMax	AlkorMagicLvl	OrmusMin	OrmusMax	OrmusMagicMin	OrmusMagicMax	OrmusMagicLvl	ElzixMin	ElzixMax	ElzixMagicMin	ElzixMagicMax	ElzixMagicLvl	AshearaMin	AshearaMax	AshearaMagicMin	AshearaMagicMax	AshearaMagicLvl	CainMin	CainMax	CainMagicMin	CainMagicMax	CainMagicLvl	HalbuMin	HalbuMax	HalbuMagicMin	HalbuMagicMax	HalbuMagicLvl	JamellaMin	JamellaMax	JamellaMagicMin	JamellaMagicMax	JamellaMagicLvl	MalahMin	MalahMax	MalahMagicMin	MalahMagicMax	MalahMagicLvl	LarzukMin	LarzukMax	LarzukMagicMin	LarzukMagicMax	LarzukMagicLvl	DrehyaMin	DrehyaMax	DrehyaMagicMin	DrehyaMagicMax	DrehyaMagicLvl	Source Art	Game Art	Transform	InvTrans	SkipName	NightmareUpgrade	HellUpgrade	Nameable	PermStoreItem
Hand Axe	axe		hax	hax	hax	0		1	1	4	8	0	0	0	0	0	0	0	0	35	0	2	0	33	0	3	0	340	10102	0	328		hax	9ha	7ha	1hs	1hs	5	1hsl	1	3	0	0	0	0	flphax	invhax	invhaxu	invhaxu	1	3	0		0	item_sword	12	item_sword	0	0	5	0	0	0			35	7	0	0	3	0	0	0	0	255	1	1	0	0	255	0	1	0	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	0	0	0	0	0	255	0	0	0	0	255	1	1	0	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			2	2	0	axe	2ax	1	0
Axe	axe		axe	axe	axe	0		1	1	6	16	0	0	0	0	0	0	1	10	40	0	6	0	28	0	7	0	806	19758	0	328		axe	9ax	7ax	1hs	1hs	5	1hsl	2	3	0	0	0	0	flpaxe	invaxe	invaxeu	invaxeu	1	6	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3	0	0	0	0	255	1	1	1	1	20	1	1	1	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	0	0	0	0	0	255	0	0	0	0	255	1	1	1	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			2	2	0	2ax	mpi	1	0
Double Axe	axe		2ax	axe	2ax	0		1	1	8	21	0	0	0	0	0	0	1	10	45	0	11	0	28	0	13	0	1746	45580	0	328		2ax	92a	72a	1hs	1hs	5	1hsl	2	3	0	0	0	0	flp2ax	inv2ax			1	6	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3	0	0	0	0	255	0	0	1	1	30	0	0	0	0	255	1	1	0	1	20	0	0	0	0	255	0	0	0	0	255	0	0	0	0	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			2	2	0	mpi	wax	1	0
Military Pick	axe		mpi	axe	mpi	0		1	1	12	21	0	0	0	0	0	0	1	-10	50	0	17	0	31	0	19	0	2842	87356	0	328		mpi	9mp	7mp	1hs	1hs	5	1hsl	2	3	0	0	0	0	flpmpi	invmpi	invmpiu	invmpiu	1	6	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	1	0	1	20	0	0	0	0	255	0	0	0	0	255	1	1	0	1	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	1	1	20	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			2	2	0	wax	xxx	1	0
War Axe	axe		wax	hax	wax	0		1	1	16	32	0	0	0	0	0	0	2	0	55	0	24	0	31	0	25	0	4246	152488	0	328		wax	9wa	7wa	1hs	1hs	5	1hsl	2	3	0	0	0	0	flpwax	invwax			1	6	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	1	1	1	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	1	1	3	20	0	0	0	0	255	0	0	0	0	255	1	1	1	1	20	0	0	0	0	255			2	2	0	xxx	xxx	1	0
Hatchet	axe		9ha	hax	9ha	0		1	1	18	40	0	0	0	0	0	0	0	0	60	25	32	19	33	0	31	21	1620	96566	0	328		hax	9ha	7ha	1hs	1hs	5	1hsl	1	3	0	0	0	0	flphax	invhatx	invhaxu	invhaxu	1	3	0		0	item_sword	12	item_sword	0	0	5	0	0	0			35	7	0	0	3	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	20	0	0	0	0	255	0	0	0	0	20	0	0	0	0	255	0	0	0	0	20			5	2	0	xxx	xxx	1	0
Cleaver	axe		9ax	axe	9ax	0		1	1	20	58	0	0	0	0	0	0	1	10	65	30	41	24	28	0	34	24	3018	158604	0	328		axe	9ax	7ax	1hs	1hs	5	1hsl	2	3	0	0	0	0	flpaxe	invclvr	invaxeu	invaxeu	1	6	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	20	0	0	0	0	255	0	0	0	0	20	0	0	0	0	255	0	0	0	0	20			5	2	0	xxx	xxx	1	0
Twin Axe	axe		92a	axe	92a	0		1	1	25	70	0	0	0	0	0	0	1	10	70	35	50	30	28	0	39	27	5838	304282	0	328		2ax	92a	72a	1hs	1hs	5	1hsl	2	3	0	0	0	0	flp2ax	invtwin			1	6	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	20	0	0	0	0	255	0	0	0	0	20	0	0	0	0	255	0	0	0	0	20			5	2	0	xxx	xxx	1	0
Crowbill	axe		9mp	axe	9mp	0		1	1	30	69	0	0	0	0	0	0	1	-10	75	40	61	36	31	0	43	27	9126	493266	0	328		mpi	9mp	7mp	1hs	1hs	5	1hsl	2	3	0	0	0	0	flpmpi	invcrow	invmpiu	invmpiu	1	6	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	20	0	0	0	0	255	0	0	0	0	20	0	0	0	0	255	0	0	0	0	20			2	2	0	xxx	xxx	1	0
Naga	axe		9wa	hax	9wa	0		1	1	36	88	0	0	0	0	0	0	2	0	80	45	72	43	31	0	48	27	13338	776408	0	328		wax	9wa	7wa	1hs	1hs	5	1hsl	2	3	0	0	0	0	flpwax	invnaga			1	6	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	20	0	0	0	0	255	0	0	0	0	20	0	0	0	0	255	0	0	0	0	20			2	2	0	xxx	xxx	1	0
